#clustering band1 band2 band3 band4 band5 band6 b_width damp pref km_in inertia score n_clust total_objects c_1 c_2 c_3 c_4 c_5 c_6 c_7 c_8 c_9 c_10 c_11 c_12 c_13 c_14 c_15 c_16 c_17 c_18 c_19 c_20 c_21 c_22 c_23 c_24 c_25 c_26 c_27 c_28 c_29 c_30 c_31 c_32 c_33 c_34 c_35 c_36 c_37 c_38 c_39 c_40
meanshift mag05_336 mag05_373 mag05_373 mag05_555 mag05_373 mag05_814 0.7920 N/A N/A N/A N/A 0.483973444678 8 8559 7689  681   64   63   57    3    1    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_373 mag05_373 mag05_555 mag05_373 mag05_814 N/A N/A N/A experiments.txt 1502.89067919 0.312075523721 8 8559 2961 1973 1438  811  591  486  160  139    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_373 mag05_373 mag05_555 mag05_373 mag05_814 N/A N/A N/A experiments.txt 3653.73425966 0.382865468997 3 8559 4520 3016 1023    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_373 mag05_373 mag05_555 mag05_373 mag05_814 N/A N/A N/A experiments.txt 2725.43440238 0.453801173182 4 8559 5190 2380  730  259    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_373 mag05_373 mag05_555 mag05_373 mag05_814 N/A N/A N/A experiments.txt 2168.1985491 0.356343810768 5 8559 3331 3073 1473  459  223    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_373 mag05_373 mag05_555 mag05_373 mag05_814 N/A N/A N/A experiments.txt 1858.80428257 0.322859898717 6 8559 3098 2392 1684  902  286  197    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_373 mag05_373 mag05_555 mag05_373 mag05_814 N/A N/A N/A experiments.txt 1671.30747016 0.300598290219 7 8559 2912 2058 1409 1207  641  173  159    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_373 mag05_373 mag05_555 mag05_373 mag05_814 N/A N/A N/A experiments.txt 1380.32589785 0.311568640929 9 8559 2517 1643 1384  974  704  607  448  162  120    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_336 mag05_373 mag05_373 mag05_555 mag05_373 mag05_814 0.7500 N/A N/A N/A N/A 0.484325626157 9 8559 7679  691   64   63   56    3    1    1    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_336 mag05_373 mag05_373 mag05_555 mag05_373 mag05_814 0.8500 N/A N/A N/A N/A 0.511944345977 6 8559 7700  670  110   63   15    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_336 mag05_373 mag05_373 mag05_555 mag05_373 mag05_814 0.9000 N/A N/A N/A N/A 0.50648152022 6 8559 7706  664  103   63   22    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_336 mag05_373 mag05_373 mag05_555 mag05_373 mag05_814 0.9300 N/A N/A N/A N/A 0.505736012672 6 8559 7716  653  104   63   22    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_336 mag05_373 mag05_373 mag05_555 mag05_373 mag05_814 0.9600 N/A N/A N/A N/A 0.504570765333 6 8559 7725  643  105   63   22    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_336 mag05_373 mag05_373 mag05_555 mag05_373 mag05_814 1.0000 N/A N/A N/A N/A 0.509687511623 6 8559 7734  634  112   63   15    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
