# object_id x_pix y_pix cluster_number
308 4137.02 247.361 0
515 4068.05 280.988 0
612 4063.85 292.966 0
615 4019.69 293.141 0
691 4087.18 301.606 0
747 3821.39 307.704 0
784 4129.22 312.665 0
830 4138.72 317.888 0
838 4131.4 318.443 0
842 4130.34 318.651 0
893 4144.34 323.528 0
894 3804.58 323.588 0
899 3911.92 324.104 0
913 4025.63 325.541 0
937 4125.72 327.724 0
946 4144.33 328.663 0
951 4115.9 328.986 0
996 3514.34 334.005 0
1003 4154.11 334.284 0
1040 4095.6 338.04 0
1058 4144.06 339.512 0
1062 4119.18 339.724 0
1081 4179.73 340.975 0
1113 4157.7 343.933 0
1135 4177.23 345.74 0
1136 4180.71 345.82 0
1149 4101.67 346.777 0
1198 3398.85 351.016 1
1202 4090.01 351.221 0
1208 4179.17 351.63 0
1227 3976.85 353.121 0
1239 3394.34 354.272 0
1283 3357.99 357.855 0
1291 4187.51 358.027 0
1314 4153.72 360.109 0
1349 4150.01 363.869 0
1403 4199.35 368.823 0
1422 4175.84 370.201 0
1435 4185.39 371.538 0
1451 4156.82 373.151 0
1532 4181.5 379.009 0
1536 3918.13 379.537 0
1558 4015.93 381.414 0
1567 3027.69 382.453 0
1576 3989.28 383.114 0
1586 3966.11 383.743 0
1590 3968.74 383.913 0
1597 4065.76 384.672 0
1602 3957.36 385.054 0
1606 3983.36 385.714 0
1617 4098.69 386.321 0
1621 4110.75 386.752 0
1649 4099.9 388.346 0
1674 3809.14 390.319 0
1701 4196.73 391.849 0
1741 4087.75 395.265 0
1757 4179.86 396.573 0
1761 4109.32 396.885 0
1771 4092.87 397.483 0
1798 4087.76 401.018 0
1821 3444.02 402.433 0
1849 4205.04 403.986 0
1863 4140.81 404.747 0
1868 4183.7 405.062 0
1923 4085.21 409.65 0
1957 3102.53 411.443 0
1974 4021.97 412.367 0
2023 3541.19 415.951 0
2031 4206.68 416.058 0
2067 3020.9 418.457 0
2093 2984.74 420.15 0
2134 4135.0 422.169 0
2161 4057.94 424.101 0
2171 3988.65 424.905 0
2215 4193.08 428.076 0
2235 3918.51 429.944 0
2292 3898.65 433.772 0
2324 3000.27 435.976 0
2380 2830.25 440.125 0
2385 4064.22 440.414 0
2407 4072.01 441.83 0
2470 3402.32 446.425 0
2472 3992.46 446.574 0
2479 4186.14 446.947 0
2482 3516.88 447.177 0
2529 3081.34 450.914 0
2530 2858.53 450.999 0
2556 4119.68 452.413 0
2563 3277.65 452.771 0
2619 3627.01 456.318 0
2625 3843.52 456.615 0
2639 3093.47 457.607 0
2648 3847.04 458.258 0
2684 3084.48 460.533 0
2752 3513.85 464.642 0
2757 3343.35 465.07 0
2785 2935.97 466.551 0
2786 3753.43 466.477 0
2819 3136.47 468.468 0
2846 3223.45 469.994 0
2874 2441.53 472.202 0
2893 2976.63 472.996 0
2907 3820.43 474.239 0
2936 2784.27 476.25 0
3020 3085.94 481.392 0
3045 2833.2 483.463 0
3055 2927.36 484.084 0
3059 2828.35 484.342 0
3160 3977.04 489.577 0
3171 2828.71 490.426 0
3220 2119.97 493.315 0
3240 3105.15 494.511 0
3337 4219.36 500.014 0
3354 3557.19 500.779 0
3490 3898.82 509.05 0
3550 3614.02 512.891 0
3658 4201.89 518.028 0
3704 3032.48 520.499 0
3825 2869.97 526.142 0
3916 3567.05 530.389 0
3954 3891.26 532.451 0
3972 3589.17 533.78 0
4003 2843.54 535.572 0
4014 3884.07 535.853 0
4198 2855.26 544.871 0
4263 1573.54 548.332 0
4266 2955.06 548.487 0
4280 2848.27 549.54 0
4332 2935.85 552.02 0
4371 2881.57 553.619 0
4386 2964.52 554.234 0
4393 4097.46 554.601 0
4405 2446.62 555.554 0
4425 2876.84 556.552 0
4444 1530.43 557.196 0
4457 3650.2 557.916 0
4500 2884.63 559.831 0
4522 2932.0 560.87 0
4529 3458.41 561.236 0
4566 4207.57 562.506 0
4599 2872.84 564.112 0
4611 1568.26 564.597 0
4613 3122.01 564.71 0
4622 1642.76 565.115 0
4627 2906.9 565.277 0
4630 3234.76 565.397 0
4660 2876.26 567.189 0
4668 1539.39 567.424 0
4721 2871.15 570.131 0
4773 1349.42 572.683 0
4794 1349.14 573.59 0
4797 2369.08 573.775 0
4807 3450.65 574.175 0
4828 2959.49 575.133 0
4867 1343.87 576.96 0
4891 3451.73 577.973 0
4893 1372.84 578.038 0
4908 1540.25 578.765 0
4913 1357.7 578.911 0
4927 2704.29 579.539 0
4949 1564.42 580.109 0
4956 1294.56 580.223 0
5018 2844.5 583.216 0
5053 3528.63 584.593 0
5056 1339.91 584.637 0
5065 1278.69 584.931 0
5079 1273.03 585.452 0
5090 2875.5 586.065 0
5109 2128.91 586.744 0
5112 2891.07 586.856 0
5150 1266.17 588.347 0
5151 1255.96 588.387 0
5153 3563.47 588.632 0
5214 1256.27 591.046 0
5233 1272.93 592.083 0
5234 1263.82 592.128 0
5237 1278.39 592.203 0
5353 1265.47 597.969 0
5361 2984.74 598.265 0
5365 3017.93 598.428 0
5382 1281.4 598.931 0
5385 1255.92 598.953 0
5393 1274.73 599.591 0
5409 2295.08 600.402 1
5412 1243.87 600.381 0
5440 1612.97 601.635 0
5441 2127.02 601.725 0
5467 2872.51 602.996 0
5472 1599.59 603.146 0
5480 1613.36 603.693 0
5493 1266.13 604.118 0
5499 1608.36 604.347 0
5500 1540.06 604.344 0
5501 1249.47 604.477 0
5510 1316.76 604.885 0
5542 3873.92 606.193 0
5573 3882.07 607.51 0
5575 4236.79 607.646 0
5579 3612.62 607.95 0
5581 2891.95 608.064 0
5586 2763.78 608.181 0
5588 3380.39 608.254 0
5597 3617.62 608.654 0
5603 2923.76 608.902 0
5610 2865.5 609.28 0
5627 1297.4 609.769 0
5636 1034.94 609.947 0
5642 3609.67 610.161 1
5660 2945.05 610.994 0
5746 3575.86 615.392 0
5753 4204.42 615.457 0
5755 1545.1 615.715 0
5764 1634.67 616.307 0
5765 1537.04 616.394 0
5795 2868.82 617.378 0
5804 1283.06 617.617 0
5807 3501.75 617.931 0
5809 4196.42 617.924 0
5839 1549.52 619.152 0
5845 3867.51 619.327 0
5847 3685.09 619.378 0
5855 2978.66 619.746 0
5856 3382.56 619.724 0
5859 3825.77 619.811 0
5865 3000.74 619.987 0
5868 1579.04 620.061 1
5871 3380.67 620.113 0
5872 3882.71 620.064 0
5878 1551.86 620.279 0
5880 1270.24 620.277 0
5891 2902.15 620.761 0
5896 3877.21 620.779 0
5906 3393.46 621.146 0
5924 1033.45 621.779 0
5927 4088.78 621.904 0
5934 3878.25 622.043 0
5945 1242.3 622.33 0
5969 3375.48 623.477 0
5974 2823.72 623.684 0
5984 3971.36 623.904 0
5985 3613.83 623.965 0
5990 3594.02 624.043 0
6024 3644.4 625.537 0
6026 3384.31 625.642 0
6035 1492.72 625.937 0
6040 3587.34 626.039 0
6050 3583.01 626.363 0
6065 1535.24 626.901 0
6089 1568.2 627.857 0
6107 1544.07 628.479 0
6131 3696.32 629.22 0
6135 3321.45 629.412 0
6140 3857.76 629.508 0
6146 1260.9 629.645 0
6162 3618.6 629.932 0
6173 3613.52 630.304 0
6178 4197.83 630.439 0
6198 3876.06 631.363 0
6201 2932.08 631.495 0
6217 1590.26 631.974 0
6218 3595.07 631.969 0
6222 4203.58 631.939 0
6225 2877.99 632.141 0
6226 1553.36 632.098 0
6227 1538.27 632.109 0
6245 3598.45 632.801 0
6263 4089.18 633.275 0
6269 3373.02 633.498 0
6270 4178.16 633.47 0
6290 1542.52 634.3 0
6298 1307.26 634.734 0
6313 3630.05 635.162 0
6320 1566.14 635.335 0
6334 2814.68 635.889 1
6344 1519.66 636.25 0
6345 3338.98 636.278 0
6368 3715.47 637.031 0
6433 3551.37 639.156 0
6439 3594.62 639.384 0
6446 3644.57 639.667 0
6463 2966.46 640.556 0
6483 2801.99 641.152 0
6487 1556.86 641.301 0
6491 3541.16 641.648 0
6509 3615.09 642.319 0
6514 3364.95 642.545 0
6525 1175.33 642.836 0
6581 3582.85 644.711 0
6585 2878.4 644.834 0
6605 3871.22 645.275 0
6626 3894.01 645.921 0
6628 3436.74 646.119 0
6639 4223.19 646.43 0
6643 1534.57 646.57 0
6644 3596.44 646.562 0
6663 3578.66 647.039 0
6675 1517.85 647.448 0
6677 1287.56 647.548 0
6686 2861.67 647.958 0
6690 4082.2 647.947 0
6704 3913.27 648.54 0
6706 1543.22 648.61 0
6722 1547.51 648.869 0
6732 3322.13 649.097 0
6737 3626.24 649.187 0
6742 2571.38 649.402 0
6747 1534.02 649.425 0
6750 2819.45 649.508 0
6757 2772.55 649.664 0
6780 1565.23 650.217 0
6784 3538.9 650.441 0
6788 3654.42 650.536 0
6801 2986.56 651.137 0
6815 2103.36 651.635 0
6816 3791.21 651.561 0
6818 3588.48 651.629 0
6837 4210.63 652.165 0
6870 4244.6 653.264 0
6883 2939.53 653.821 0
6892 1519.47 654.104 0
6901 3367.51 654.301 0
6902 1571.16 654.321 0
6912 3870.97 654.588 0
6937 824.992 655.038 0
6944 4104.88 655.38 0
6945 3400.05 655.485 0
6962 2784.42 655.998 0
6976 1543.51 656.29 0
6981 3853.95 656.351 0
6987 772.517 656.466 0
6988 1532.19 656.603 0
7016 3604.83 657.518 0
7030 4139.73 657.913 0
7071 1478.47 659.476 0
7091 3531.02 660.173 0
7124 2938.57 661.265 0
7126 1604.74 661.485 0
7130 1522.95 661.591 0
7155 1487.69 662.238 0
7163 3592.68 662.432 0
7176 1040.6 662.662 0
7192 1514.69 663.353 0
7241 3633.73 664.907 0
7243 2885.35 665.072 0
7266 1297.22 665.678 0
7276 1533.78 665.969 0
7282 3007.76 666.105 0
7294 1289.26 666.353 0
7307 1299.83 666.784 0
7308 1600.51 666.883 0
7313 3539.41 667.122 0
7334 1577.06 667.73 0
7345 1530.71 668.016 0
7380 3153.38 669.1 0
7398 3399.44 669.719 0
7414 1514.65 670.359 0
7452 1516.45 671.675 0
7453 3604.53 671.715 0
7460 3622.74 671.896 0
7468 1545.39 672.155 0
7469 2824.37 672.234 0
7470 2905.72 672.257 0
7478 2631.57 672.512 0
7494 1594.0 672.916 0
7498 3017.03 673.062 0
7502 1313.42 673.083 0
7506 3959.82 673.168 0
7514 1295.69 673.376 0
7522 3414.34 673.613 0
7532 2920.47 673.934 0
7535 1532.94 673.973 0
7537 1519.67 674.108 0
7548 1608.53 674.473 0
7570 1512.24 675.177 0
7586 1531.75 675.589 0
7638 3549.43 677.485 0
7649 3414.28 677.964 0
7654 2991.22 678.161 0
7665 4191.81 678.376 0
7669 3611.07 678.61 0
7670 1606.38 678.663 0
7691 1582.26 679.379 0
7700 1284.89 679.648 0
7708 1592.07 679.975 0
7716 1529.21 680.243 0
7717 1329.53 680.341 0
7721 3566.15 680.538 0
7737 1522.84 681.064 0
7746 2821.98 681.44 0
7752 1533.3 681.65 0
7762 3452.54 682.103 0
7776 3568.0 682.626 0
7781 2962.31 682.915 0
7808 3578.77 683.903 0
7860 3352.1 685.772 0
7867 3688.56 685.924 0
7868 4171.53 685.895 0
7871 2846.76 686.071 0
7875 1516.92 686.237 0
7877 939.79 686.434 0
7882 1557.6 686.905 0
7887 2906.92 687.097 0
7893 2951.15 687.293 0
7899 1566.35 687.494 0
7912 1043.24 687.802 0
7929 1507.57 688.413 0
7955 1578.55 689.215 0
