# clustering total_clust clust_num n_obj t_scr c_scr rms avg_dist max_dist min_dist stdev cen_1 cen_2 avg_col_1 avg_col_2
meanshift 8 1 8180 0.545235095172 0.554619718275 0.4614 0.7169  3.3607 0.0000 0.4607 -0.334700736483 -0.0537817495958  -0.2008 0.1502
meanshift 8 2 163 0.545235095172 0.31723845066 1.6274 0.6731  2.3942 0.0020 1.1081 0.2055 3.65666666667  0.1567 2.2272
meanshift 8 3 121 0.545235095172 0.294164052163 1.3633 0.6093  2.0963 0.0061 0.3927 2.568 1.77566666667  1.1474 1.4636
meanshift 8 4 72 0.545235095172 0.460186196484 1.2547 0.6364  1.9382 0.0081 0.8086 2.84633333333 0.236666666667  1.6803 0.2386
meanshift 8 5 2 0.545235095172 0.20205467486 2.1806 0.6120  0.6120 0.6120 0.9475 3.191 1.072  2.8865 1.0415
meanshift 8 6 1 0.545235095172 0.0 N/A N/A N/A N/A 1.4590 3.682 0.764  3.6820 0.7640
meanshift 8 7 18 0.545235095172 0.471745318058 1.8846 0.5214  1.7852 0.0175 0.7557 1.648 3.478  1.0408 2.4122
meanshift 8 8 1 0.545235095172 0.0 N/A N/A N/A N/A 1.9485 3.621 -0.276  3.6210 -0.2760
kmeans 3 1 900 0.430270830228 0.280912863111 1.2029 0.8775  4.7513 0.0010 0.7985 0.292061111111 1.50729666667  0.2921 1.5073
kmeans 3 2 2636 0.430270830228 0.257540231666 0.4945 0.6064  4.6372 0.0010 0.4060 0.112613050076 0.451905538695  0.1126 0.4519
kmeans 3 3 5022 0.430270830228 0.547702138116 0.3602 0.3871  2.7746 0.0000 0.2503 -0.37530784548 -0.142543608124  -0.3753 -0.1425
meanshift 10 1 8120 0.343895782347 0.345883244621 0.4579 0.7068  3.1438 0.0000 0.4569 -0.344305377597 -0.0720246554067  -0.2091 0.1504
meanshift 10 2 171 0.343895782347 0.290603796375 1.6136 0.6745  2.4106 0.0020 1.0963 0.2055 3.65666666667  0.1617 2.2064
meanshift 10 3 149 0.343895782347 0.337117321453 1.0344 0.6597  2.0171 0.0050 0.6156 2.1556 -0.2734  1.3195 0.3431
meanshift 10 4 8 0.343895782347 0.133495402636 1.8002 0.6075  1.5159 0.1054 1.0394 2.84633333333 0.236666666667  2.4574 0.4824
meanshift 10 5 79 0.343895782347 0.28574467965 1.4267 0.5601  2.0069 0.0061 0.3843 2.6455 1.9885  1.1946 1.5534
meanshift 10 6 1 0.343895782347 0.0 N/A N/A N/A N/A 1.9485 3.621 -0.276  3.6210 -0.2760
meanshift 10 7 3 0.343895782347 0.600869205014 1.0212 0.5227  0.5762 0.4705 0.6006 -1.659 -0.076  -1.3870 -0.2647
meanshift 10 8 3 0.343895782347 0.0167479021373 2.0449 0.6292  0.9435 0.3321 0.8680 3.191 1.072  2.6743 1.0287
meanshift 10 9 23 0.343895782347 0.394338464818 1.8112 0.5197  1.8601 0.0175 0.7248 1.648 3.478  1.0090 2.3106
meanshift 10 10 1 0.343895782347 0.0 N/A N/A N/A N/A 1.4590 3.682 0.764  3.6820 0.7640
kmeans 4 1 635 0.413971067432 0.302171519979 0.8383 0.7159  3.4651 0.0014 0.4739 0.877985826772 0.505124409449  0.8780 0.5051
kmeans 4 2 2667 0.413971067432 0.356077732711 0.3882 0.4236  1.7593 0.0000 0.3594 -0.122555305587 0.416162354706  -0.1226 0.4162
kmeans 4 3 4461 0.413971067432 0.482013380196 0.3668 0.3657  2.3512 0.0000 0.2311 -0.380758574311 -0.188927370545  -0.3808 -0.1889
kmeans 4 4 795 0.413971067432 0.315678588301 1.2027 0.7770  3.2939 0.0010 0.8281 0.179628930818 1.56488301887  0.1796 1.5649
meanshift 8 1 8175 0.544885459908 0.55427950638 0.4606 0.7157  3.3607 0.0000 0.4598 -0.339841869994 -0.0640920096852  -0.2011 0.1494
meanshift 8 2 166 0.544885459908 0.321056020717 1.6218 0.6714  2.3942 0.0020 1.1063 0.2055 3.65666666667  0.1521 2.2195
meanshift 8 3 122 0.544885459908 0.29415315352 1.3622 0.6093  2.0963 0.0061 0.3938 2.568 1.77566666667  1.1433 1.4648
meanshift 8 4 73 0.544885459908 0.463021165423 1.2505 0.6344  1.9382 0.0081 0.8057 2.84633333333 0.236666666667  1.6744 0.2383
meanshift 8 5 1 0.544885459908 0.0 N/A N/A N/A N/A 1.9485 3.621 -0.276  3.6210 -0.2760
meanshift 8 6 2 0.544885459908 0.20205467486 2.1806 0.6120  0.6120 0.6120 0.9475 3.191 1.072  2.8865 1.0415
meanshift 8 7 18 0.544885459908 0.4726757023 1.8846 0.5214  1.7852 0.0175 0.7557 1.648 3.478  1.0408 2.4122
meanshift 8 8 1 0.544885459908 0.0 N/A N/A N/A N/A 1.4590 3.682 0.764  3.6820 0.7640
kmeans 5 1 1155 0.359372628689 0.35346498934 0.6705 0.4410  1.6830 0.0010 0.5350 -0.0692917748918 0.87763982684  -0.0693 0.8776
kmeans 5 2 641 0.359372628689 0.286872668944 0.8223 0.7039  3.3803 0.0014 0.4690 0.866979719189 0.483923556942  0.8670 0.4839
kmeans 5 3 2774 0.359372628689 0.324548520906 0.2730 0.3523  1.5359 0.0000 0.2727 -0.174763518385 0.197235760634  -0.1748 0.1972
kmeans 5 4 452 0.359372628689 0.276989575265 1.4044 0.8028  3.4443 0.0020 0.8828 0.342265486726 1.84228982301  0.3423 1.8423
kmeans 5 5 3536 0.359372628689 0.412295426421 0.3935 0.3360  2.3512 0.0000 0.2124 -0.415923359729 -0.246544117647  -0.4159 -0.2465
meanshift 8 1 8179 0.545214436674 0.554627549542 0.4612 0.7167  3.3607 0.0000 0.4605 -0.335717332369 -0.0545841315742  -0.2009 0.1500
meanshift 8 2 163 0.545214436674 0.316956051955 1.6274 0.6731  2.3942 0.0020 1.1081 0.2055 3.65666666667  0.1567 2.2272
meanshift 8 3 122 0.545214436674 0.294409318776 1.3622 0.6093  2.0963 0.0061 0.3938 2.568 1.77566666667  1.1433 1.4648
meanshift 8 4 72 0.545214436674 0.460763893267 1.2547 0.6364  1.9382 0.0081 0.8086 2.84633333333 0.236666666667  1.6803 0.2386
meanshift 8 5 1 0.545214436674 0.0 N/A N/A N/A N/A 1.9485 3.621 -0.276  3.6210 -0.2760
meanshift 8 6 2 0.545214436674 0.20205467486 2.1806 0.6120  0.6120 0.6120 0.9475 3.191 1.072  2.8865 1.0415
meanshift 8 7 18 0.545214436674 0.471418796317 1.8846 0.5214  1.7852 0.0175 0.7557 1.648 3.478  1.0408 2.4122
meanshift 8 8 1 0.545214436674 0.0 N/A N/A N/A N/A 1.4590 3.682 0.764  3.6820 0.7640
kmeans 6 1 436 0.331572849548 0.275729896356 1.4089 0.7869  2.9585 0.0020 0.8940 0.319346330275 1.8583853211  0.3193 1.8584
kmeans 6 2 1092 0.331572849548 0.357158632205 0.6814 0.4297  1.6103 0.0010 0.5489 -0.0884249084249 0.895847069597  -0.0884 0.8958
kmeans 6 3 481 0.331572849548 0.234852543175 0.9396 0.7296  3.3435 0.0014 0.4895 1.00911226611 0.594937629938  1.0091 0.5949
