#clustering band1 band2 band3 band4 b_width damp pref km_in inertia score n_clust total_objects c_1 c_2 c_3 c_4 c_5 c_6 c_7 c_8 c_9 c_10 c_11 c_12 c_13 c_14 c_15 c_16 c_17 c_18 c_19 c_20 c_21 c_22 c_23 c_24 c_25 c_26 c_27 c_28 c_29 c_30 c_31 c_32 c_33 c_34 c_35 c_36 c_37 c_38 c_39 c_40
meanshift mag05_336 mag05_373 mag05_555 mag05_814 0.4639 N/A N/A N/A N/A 0.568186988336 7 8559 8314  124   97   21    1    1    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_373 mag05_555 mag05_814 N/A N/A N/A experiments.txt 1192.61321901 0.468203836656 3 8559 5812 1807  940    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_336 mag05_373 mag05_555 mag05_814 0.4000 N/A N/A N/A N/A 0.409153813953 12 8559 7971  331  148   68   24    7    3    2    2    1    1    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_373 mag05_555 mag05_814 N/A N/A N/A experiments.txt 913.154238838 0.378071004963 4 8559 4199 2852  759  749    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_336 mag05_373 mag05_555 mag05_814 0.5000 N/A N/A N/A N/A 0.568982885826 7 8559 8318  120   97   21    1    1    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_373 mag05_555 mag05_814 N/A N/A N/A experiments.txt 784.541502503 0.351836037887 5 8559 3840 2016 1427  679  597    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_336 mag05_373 mag05_555 mag05_814 0.5500 N/A N/A N/A N/A 0.575703735524 6 8559 8323  117  113    3    2    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_373 mag05_555 mag05_814 N/A N/A N/A experiments.txt 682.401633958 0.318746830988 6 8559 2638 2106 1705 1052  597  461    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_336 mag05_373 mag05_555 mag05_814 0.5600 N/A N/A N/A N/A 0.618155345263 5 8559 8397  156    3    2    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_373 mag05_555 mag05_814 N/A N/A N/A experiments.txt 601.64291211 0.311239279484 7 8559 2275 2086 1625 1215  756  422  180    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_336 mag05_373 mag05_555 mag05_814 0.5700 N/A N/A N/A N/A 0.661654769073 4 8559 8484   68    6    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_373 mag05_555 mag05_814 N/A N/A N/A experiments.txt 531.892306804 0.320012758293 8 8559 1872 1858 1743 1132  907  614  312  121    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
