# band1 band2 band3 band4

# Broad-Broad Broad-Broad

mag05_336 mag05_438 mag05_555 mag05_814
mag05_336 mag05_555 mag05_438 mag05_814

# Broad-Narrow Broad-Broad

mag05_225 mag05_336 mag05_438 mag05_555
mag05_225 mag05_336 mag05_438 mag05_814
mag05_225 mag05_336 mag05_555 mag05_814

mag05_336 mag05_373 mag05_438 mag05_555
mag05_336 mag05_373 mag05_438 mag05_814
mag05_336 mag05_373 mag05_555 mag05_814

mag05_438 mag05_487 mag05_555 mag05_814

mag05_502 mag05_555 mag05_336 mag05_438

mag05_657 mag05_814 mag05_336 mag05_438
mag05_657 mag05_814 mag05_336 mag05_555
mag05_657 mag05_814 mag05_438 mag05_555

mag05_673 mag05_814 mag05_336 mag05_438
mag05_673 mag05_814 mag05_336 mag05_555
mag05_673 mag05_814 mag05_438 mag05_555
