# band1 band2 colour_mean colour_median colour_std colour_var colour_min colour_max mag_iqr num_obj unc_mean unc_median unc_std unc_var unc_min unc_max unc_iqr
mag05_336 mag05_438 -1.1259 -1.2090 0.4365 0.1905 -2.9860 1.7480 0.4230 33523 0.1606 0.1659 0.0598 0.0036 0.0052 0.2818 0.0943
mag05_336 mag05_555 -1.0783 -1.1960 0.6074 0.3689 -4.8660 3.5250 0.5760 33692 0.1429 0.1472 0.0537 0.0029 0.0045 0.2805 0.0852
mag05_336 mag05_814 -0.7863 -0.9790 0.9607 0.9229 -3.6870 5.7820 1.0780 29181 0.1588 0.1639 0.0581 0.0034 0.0057 0.2826 0.0892
mag05_438 mag05_555 0.1482 0.0680 0.3774 0.1425 -3.4130 3.2880 0.3470 48660 0.1456 0.1512 0.0539 0.0029 0.0044 0.2774 0.0836
mag05_438 mag05_814 0.6500 0.4300 0.9392 0.8822 -2.0860 6.0910 1.0620 41413 0.1590 0.1664 0.0571 0.0033 0.0047 0.2797 0.0860
mag05_555 mag05_814 0.9133 0.6540 0.9760 0.9526 -2.9990 5.1320 1.5130 57935 0.1334 0.1365 0.0481 0.0023 0.0037 0.2823 0.0706

mag05_225 mag05_336 -0.0676 -0.1420 0.4273 0.1826 -3.6820 3.4880 0.4530 14977 0.1539 0.1587 0.0538 0.0029 0.0062 0.2809 0.0854
mag05_336 mag05_373 -0.1497 -0.2530 0.4442 0.1973 -1.6590 3.6820 0.4250 8675 0.1504 0.1573 0.0493 0.0024 0.0087 0.2716 0.0769
mag05_438 mag05_487 0.4327 0.3650 0.3416 0.1167 -0.5170 3.4550 0.3270 13269 0.1493 0.1565 0.0511 0.0026 0.0091 0.2780 0.0802
mag05_502 mag05_555 0.0070 0.0280 0.2904 0.0844 -5.2120 1.1060 0.2340 14644 0.1418 0.1500 0.0479 0.0023 0.0081 0.2581 0.0761
mag05_657 mag05_814 -0.9467 -0.9570 0.7654 0.5859 -4.3510 2.3130 1.0940 59465 0.1495 0.1504 0.0455 0.0021 0.0057 0.2770 0.0615
mag05_673 mag05_814 0.3283 0.2210 0.5616 0.3154 -3.7990 3.0030 0.6990 25185 0.1535 0.1599 0.0489 0.0024 0.0060 0.2766 0.0718
