# object_id cluster_number
615 20
830 6
893 0
894 1
937 0
946 0
996 0
1058 21
1062 21
1135 19
1136 21
1208 19
1239 21
1349 19
1435 16
1532 8
1536 0
1558 1
1576 15
1586 6
1590 20
1597 13
1606 13
1649 11
1674 7
1757 6
1761 8
1821 1
1849 1
1863 4
1868 9
1923 15
1974 13
2031 20
2215 1
2292 6
2625 1
2639 20
2648 6
2752 20
2757 20
2846 20
2874 10
3160 1
3337 10
3354 6
3550 0
3658 6
4003 18
4198 11
4386 0
4393 13
4444 4
4522 11
4613 4
4773 8
4794 7
4807 0
4828 1
4891 0
4913 4
4927 1
4954 11
4956 13
5018 0
5056 4
5065 8
5109 10
5112 1
5150 0
5153 18
5233 18
5234 6
5237 0
5365 21
5393 0
5440 6
5480 0
5493 6
5500 19
5501 1
5573 18
5575 19
5586 8
5588 16
5597 0
5603 19
5610 1
5660 2
5764 10
5779 3
5795 0
5807 19
5839 0
5845 19
5847 8
5859 13
5878 15
5880 13
5891 16
5984 19
5985 19
5990 6
6040 0
6173 6
6178 19
6198 0
6226 0
6263 16
6290 13
6298 18
6320 19
6344 6
6345 4
6433 10
6439 13
6525 3
6581 0
6585 19
6639 4
6663 0
6690 15
6722 0
6747 6
6788 0
6870 8
6901 5
6902 6
6944 8
6962 0
6987 13
7030 4
7066 3
7163 15
7176 21
7192 0
7243 0
7266 20
7276 19
7294 8
7313 19
7334 0
7337 11
7494 19
7514 13
7522 0
7532 1
7535 6
7537 19
7548 15
7570 13
7586 6
7665 0
7700 1
7716 11
7717 10
7737 4
7752 6
7776 19
7781 2
7868 4
7887 3
7899 0
7996 19
7999 6
8015 0
8072 0
8079 9
8080 6
8100 13
8102 10
8124 8
8135 11
8160 13
8184 13
8224 3
8225 13
8234 15
8235 11
8236 18
8309 3
8338 18
8365 15
8417 21
8447 4
8491 1
8534 7
8564 1
8579 0
8617 8
8633 13
8684 1
8706 13
8719 20
8724 16
8766 1
8914 13
8920 21
9073 7
9133 13
9188 3
9194 6
9280 4
9283 15
9325 21
9390 13
9405 3
9415 18
9419 3
9465 21
9468 13
9569 10
9593 21
9648 13
9654 21
9692 8
9746 3
9800 20
9838 21
9884 6
9947 10
9981 3
10004 6
10021 13
10052 0
10056 6
10086 0
10091 7
10114 19
10122 6
10131 4
10199 6
10258 15
10259 0
10268 7
10301 6
10308 1
10373 13
10382 15
10440 20
10448 8
10469 15
10472 6
10475 9
10478 3
10521 0
10527 6
10566 15
10581 19
10592 1
10603 19
10691 13
10695 15
10697 1
10736 18
10738 8
10783 6
10845 13
10868 1
10880 1
10885 6
10938 12
10954 1
10963 6
10965 10
10986 15
10994 13
11000 18
11028 13
11029 10
11030 15
11068 2
11098 18
11112 4
11118 21
11165 17
11297 1
11298 13
11350 1
11367 8
11368 16
11387 0
11404 21
11416 10
11420 8
11431 15
11462 11
11463 19
11486 19
11538 7
11544 0
11546 6
11598 4
11600 6
11615 8
11647 0
11675 17
11683 17
11726 8
11755 8
11774 13
11808 1
11824 2
11866 1
11879 15
11987 8
12026 10
12031 13
12150 10
12209 6
12223 4
12234 13
12242 0
12286 13
12333 6
12341 1
12374 19
12408 8
12523 6
12626 3
12721 15
12733 8
12743 13
12754 10
12786 10
12889 13
13001 12
13027 0
13080 19
13098 20
13162 5
13167 8
13177 3
13265 0
13268 21
13313 0
13331 0
13332 6
13386 21
13399 21
13461 6
13513 6
13553 0
13567 1
13629 16
13706 6
13719 1
13722 0
13757 1
13760 13
13762 0
13774 19
13794 18
13796 3
13808 8
13834 6
13887 13
13921 0
13966 3
13988 19
13989 6
14017 0
14026 20
14051 11
14055 6
14097 1
14231 21
14254 13
14313 6
14314 20
14396 13
14477 8
14507 16
14537 15
14572 1
14620 6
14691 3
14721 6
14739 6
14820 11
14822 3
14831 15
14836 3
14841 0
14865 6
14878 18
14905 13
14911 11
14931 4
15068 13
15101 6
15113 8
15149 8
15234 0
15272 21
15296 21
15361 6
15421 15
15491 18
15492 6
15509 0
15522 13
15558 12
15561 8
15634 8
15753 21
15765 6
15766 8
15774 0
15828 13
15877 0
15956 8
15957 6
15996 4
16038 0
16118 11
16124 2
16170 6
16313 13
16315 2
16385 6
16440 0
16495 13
16523 15
16565 13
16603 17
16624 15
16631 6
16641 15
16646 6
16661 4
16679 6
16681 0
16685 0
16722 6
16727 6
16754 13
16779 11
16793 21
16798 0
16803 6
16814 19
16821 0
16827 0
16858 0
16903 8
16940 1
17020 19
17035 6
17060 11
17067 21
17085 0
17123 11
17134 6
17159 21
17293 13
17322 3
17361 0
17402 9
17412 0
17471 3
17507 20
17546 19
17610 6
17677 4
17700 15
17706 6
17712 11
17716 19
17741 16
17809 0
17882 0
17886 10
17924 6
17927 2
18002 13
18013 0
18027 0
18029 1
18032 21
18044 2
18050 16
18062 6
18069 19
18103 21
18142 7
18196 20
18247 6
18265 10
18327 20
18350 13
18407 17
18568 6
18576 1
18598 13
