# object_id cluster_number
615 2
830 0
838 0
893 0
894 0
937 0
946 0
996 0
1058 2
1062 2
1135 0
1136 2
1149 0
1208 0
1239 1
1349 0
1435 3
1532 2
1536 0
1558 2
1576 2
1586 0
1590 2
1597 0
1606 0
1649 0
1674 2
1757 0
1761 1
1821 2
1849 0
1863 1
1868 0
1923 2
1974 0
2031 2
2067 0
2161 2
2215 0
2235 0
2292 0
2472 2
2625 2
2639 2
2648 0
2752 0
2757 1
2846 0
2874 1
3160 2
3337 1
3354 0
3490 2
3550 0
3658 0
4003 0
4198 0
4386 0
4393 0
4444 1
4500 0
4522 2
4599 0
4613 1
4773 1
4794 1
4807 0
4828 2
4891 0
4913 1
4927 2
4954 2
4956 0
5018 0
5056 1
5065 2
5109 1
5112 2
5150 0
5151 0
5153 0
5214 0
5233 0
5234 0
5237 0
5365 2
5393 0
5440 2
5472 0
5480 0
5493 0
5500 2
5501 2
5573 0
5575 0
5586 1
5588 3
5597 0
5603 0
5610 2
5660 1
5764 1
5779 2
5795 0
5807 0
5839 0
5845 0
5847 2
5859 0
5878 2
5880 0
5891 3
5984 0
5985 0
5990 0
6040 0
6065 0
6173 0
6178 0
6198 0
6226 0
6263 3
6290 0
6298 0
6320 0
6344 0
6345 1
6433 1
6439 0
6463 0
6525 2
6581 0
6585 0
6626 0
6639 1
6663 0
6690 1
6722 0
6747 0
6788 0
6870 2
6892 0
6901 3
6902 0
6944 2
6962 0
6987 0
7030 1
7066 0
7163 1
7176 2
7192 0
7243 0
7266 0
7276 0
7282 0
7294 2
7313 0
7334 0
7337 2
7380 2
7494 0
7514 0
7522 0
7532 2
7535 0
7537 0
7548 1
7570 0
7586 2
7665 0
7700 2
7716 0
7717 1
7721 0
7737 1
7752 0
7776 0
7781 1
7868 1
7875 0
7887 2
7899 0
7912 0
7996 0
7999 0
8015 0
8042 0
8072 0
8079 2
8080 0
8100 0
8102 1
8124 2
8135 2
8160 0
8184 0
8224 2
8225 0
8234 1
8235 2
8236 0
8309 2
8338 2
8365 2
8417 0
8447 1
8491 2
8534 2
8564 2
8579 0
8617 2
8633 0
8684 2
8706 0
8719 2
8724 3
8744 0
8766 1
8806 0
8914 0
8920 2
9003 0
9073 1
9133 0
9188 2
9194 0
9280 1
9283 1
9325 2
9390 0
9405 2
9415 0
9419 2
9465 2
9468 0
9542 0
9569 1
9593 2
9648 0
9654 2
9692 2
9746 2
9750 0
9800 2
9838 2
9884 0
9947 1
9981 2
10004 0
10021 2
10052 0
10056 0
10086 0
10091 2
10114 0
10122 0
10131 1
10199 0
10258 2
10259 0
10263 0
10268 2
10301 0
10308 2
10347 2
10373 0
10382 2
10440 2
10448 2
10469 2
10472 0
10475 2
10478 2
10521 0
10527 0
10566 2
10581 0
10592 2
10596 0
10603 0
10691 0
10695 2
10697 0
10736 0
10738 2
10783 0
10845 0
10868 2
10880 0
10885 0
10938 2
10954 2
10963 0
10965 1
10986 1
10994 0
11000 0
11028 0
11029 1
11030 1
11068 1
11098 0
11112 1
11118 2
11165 1
11175 2
11297 0
11298 0
11350 2
11367 2
11368 3
11387 0
11404 2
11416 1
11420 1
11431 1
11444 1
11462 0
11463 0
11486 0
11538 1
11544 0
11546 0
11598 1
11600 0
11615 2
11621 0
11647 0
11675 1
11683 1
11726 1
11755 1
11774 0
11808 2
11824 1
11866 0
11879 1
11987 2
12026 1
12031 0
12150 1
12209 2
12223 1
12234 0
12242 0
12286 0
12333 0
12341 2
12374 0
12408 2
12523 0
12578 2
12626 2
12721 2
12733 2
12743 0
12754 1
12786 3
12889 0
12893 2
12976 0
13001 1
13027 0
13080 2
13098 2
13162 3
13167 2
13177 0
13265 0
13268 2
13313 0
13331 0
13332 0
13386 2
13399 0
13461 0
13513 0
13553 0
13567 2
13629 3
13706 0
13719 0
13722 0
13757 0
13760 0
13762 0
13774 0
13794 0
13796 0
13808 2
13834 0
13869 0
13887 0
13921 0
13966 2
13988 0
13989 0
14017 0
14026 2
14051 2
14055 0
14097 2
14146 0
14198 0
14231 0
14254 0
14313 0
14314 2
14396 0
14477 2
14507 3
14537 2
14572 0
14620 0
14677 0
14691 2
14721 0
14739 0
14776 0
14820 0
14822 0
14831 2
14836 0
14841 0
14865 0
14878 0
14885 0
14905 0
14911 0
14931 1
15068 0
15101 0
15113 1
15149 1
15234 0
15272 2
15279 0
15296 0
15361 0
15381 0
15421 2
15491 2
15492 0
15496 0
15499 0
15509 0
15522 0
15558 1
15561 1
15634 2
15663 2
15733 0
15753 2
15765 0
15766 2
15774 0
15828 0
15877 0
15956 2
15957 0
15983 1
15996 1
16038 0
16118 1
16124 1
16170 2
16208 0
16313 0
16315 1
16385 0
16440 0
16495 0
16523 1
16565 0
16603 1
16624 1
16631 0
16641 1
16646 0
16661 1
16679 0
16681 0
16685 0
16722 0
16727 0
16754 0
16779 2
16793 0
16798 0
16803 0
16814 0
16821 0
16827 0
16858 0
16903 1
16940 0
17020 0
17035 0
17060 2
17067 2
17085 0
17123 0
17134 0
17159 2
17293 0
17322 0
17361 0
17398 0
17402 2
17412 0
17471 2
17507 0
17546 0
17610 0
17677 1
17700 2
17706 0
17712 2
17716 0
17741 3
17809 0
17882 0
17886 3
17924 0
17927 3
18002 0
18013 0
18027 0
18029 0
18032 2
18044 1
18050 3
18062 0
18069 0
18103 2
18142 1
18196 2
18247 0
18265 1
18327 2
18350 0
18407 1
18568 0
18576 2
18598 0
18667 2
18697 3
18817 1
18861 1
19021 0
19094 1
19168 1
19192 1
19326 0
19340 1
19354 0
19372 0
19379 2
19426 2
19443 0
19603 1
19680 0
19687 3
19692 0
19696 0
19749 0
19754 1
19824 1
19831 0
19857 0
19889 0
19895 2
19957 1
19966 2
19990 1
20004 2
20046 0
20051 0
20052 2
20060 1
20132 1
20133 0
20216 2
20220 2
20253 2
20266 2
20357 0
20368 2
20523 2
20541 0
20547 0
20556 2
20584 2
20619 2
20623 0
20630 2
20691 0
20701 1
20716 2
20771 0
20788 3
20822 0
20851 1
20877 2
20925 2
21036 1
21050 0
21104 0
21129 2
21144 2
21176 2
21185 0
21193 0
21230 0
21244 0
21274 1
21294 1
21332 2
21336 2
21340 1
21364 1
21378 2
21390 1
21405 0
21419 2
21446 0
21480 0
21489 1
21540 0
21545 2
21600 0
21601 0
21619 2
21627 0
21698 0
21708 0
21754 2
21773 0
21836 0
21862 2
21876 2
21895 0
21896 2
21910 1
21929 1
21953 2
22073 0
22117 2
22122 2
22127 2
22164 0
22198 0
22241 2
22268 2
22412 2
22510 0
22565 2
22585 1
22644 1
22659 2
22725 2
22730 0
22754 3
22810 2
22828 0
22866 2
22877 2
22884 1
22940 0
22961 0
22996 2
23141 2
23259 2
23271 0
23302 1
23329 1
23348 2
23358 1
23366 2
23369 1
23404 2
23559 0
23600 2
23626 2
23636 0
23744 1
23745 0
23775 0
23781 2
23806 0
23813 2
23946 1
23992 0
24006 0
24011 2
24036 2
24052 0
24079 2
24102 1
24109 2
24160 2
24166 2
24172 2
24182 2
24213 2
24239 2
24256 0
24257 1
24265 2
24268 0
24384 2
24385 1
24388 0
24400 1
24439 2
24460 2
24482 0
24492 3
24524 2
24528 1
24559 1
24581 2
24584 2
24589 2
24593 1
24614 2
24684 1
24690 1
24738 3
24741 0
24787 1
24822 1
24828 1
24897 3
24920 2
24927 2
24936 3
24954 1
24969 1
25003 0
25038 0
25127 2
25137 0
25171 1
25191 2
25237 1
25256 1
25300 0
25313 2
25367 2
25370 1
25407 0
25417 2
25459 1
25526 2
25538 1
25603 1
25607 3
25618 0
25622 1
25630 2
25716 1
25775 0
25781 2
25799 2
25834 2
25878 1
25887 0
25912 0
25931 0
25950 2
26037 0
26055 3
26107 0
26121 0
26122 0
26172 1
26178 2
26182 1
26209 0
26229 1
26239 2
26318 2
26427 0
26444 2
26454 0
26480 2
26492 2
26507 2
26535 0
26562 2
26564 1
26573 2
26578 2
26586 2
26597 0
26609 0
26735 0
26752 0
26799 0
26809 1
26813 2
26824 2
26848 3
26852 1
26858 0
26862 1
26882 1
26912 0
26935 0
26946 1
26992 1
27004 0
27024 1
27051 0
27160 2
27167 1
27209 0
27210 0
27219 0
27240 0
27275 1
27286 0
27312 2
27347 0
27349 2
27366 0
27367 0
27378 2
27384 0
27398 0
27423 1
27433 0
27440 2
27444 2
27445 0
27468 1
27500 0
27505 0
27547 0
27566 0
27583 0
27671 1
27700 0
27709 2
27735 1
27736 2
27745 1
27767 1
27805 0
27806 1
27809 1
27811 2
27831 0
27835 2
27837 1
27889 2
27975 1
27995 2
28044 1
28187 0
28246 2
28379 2
28437 2
28466 2
28497 0
28531 2
28604 0
28632 1
28694 2
28697 1
28715 2
28725 0
28764 0
28817 2
28862 0
28886 2
