# object_id cluster_number
615 29
784 0
830 31
893 20
894 31
937 0
946 20
996 31
1058 29
1062 22
1135 2
1136 8
1149 9
1208 0
1227 6
1239 30
1349 0
1435 17
1451 24
1532 26
1536 7
1558 26
1576 15
1586 25
1590 15
1597 0
1606 9
1674 29
1757 20
1761 8
1821 10
1863 12
1923 13
1974 9
2031 31
2215 15
2235 24
2292 0
2407 2
2482 1
2529 27
2563 27
2625 15
2639 26
2648 26
2752 9
2846 20
2874 29
2893 4
3020 0
3055 27
3160 10
3337 29
3354 10
3550 31
3658 16
3916 20
4003 20
4198 16
4386 20
4393 20
4500 0
4566 30
4599 2
4613 15
4668 9
4807 24
4828 4
4891 0
4927 10
4956 0
5018 0
5056 10
5065 29
5079 20
5109 12
5112 2
5150 7
5233 16
5234 9
5237 20
5365 30
5393 0
5440 10
5441 30
5493 24
5501 0
5573 20
5575 24
5586 12
5588 13
5597 24
5603 15
5610 9
5636 11
5660 1
5755 31
5764 22
5795 31
5807 24
5839 26
5845 24
5859 9
5878 2
5880 20
5891 19
5974 20
5984 7
5985 31
5990 24
6040 0
6065 0
6162 24
6173 24
6178 0
6198 20
6226 0
6227 24
6263 22
6290 9
6298 24
6313 31
6320 0
6344 0
6345 29
6433 29
6439 24
6581 0
6585 20
6639 26
6663 24
6690 12
6704 20
6722 0
6747 24
6757 5
6788 31
6870 2
6892 24
6901 4
6902 0
6962 0
6987 9
7163 29
7176 22
7192 24
7243 31
7266 0
7276 9
7282 31
7294 10
7313 0
7334 24
7469 19
7478 12
7494 31
7498 31
7506 14
7514 9
7522 20
7532 15
7535 9
7537 31
7548 15
7570 31
7586 8
7665 24
7700 29
7708 31
7716 31
7717 12
7737 22
7752 26
7776 20
7781 12
7868 29
7871 30
7875 9
7887 16
7899 20
7912 0
7996 24
7999 25
8015 31
8042 15
8072 0
8080 0
8100 24
8102 5
8124 29
8135 15
8160 0
8184 0
8224 25
8225 31
8234 15
8236 0
8309 2
8338 22
8365 26
8417 26
