# object_id cluster_number
615 1
830 1
893 1
894 1
937 1
946 1
996 1
1058 3
1062 3
1135 1
1136 2
1208 1
1227 0
1239 0
1349 1
1435 0
1532 1
1536 1
1558 1
1576 3
1586 3
1590 1
1597 1
1606 1
1674 1
1757 1
1761 3
1821 1
1863 3
1923 3
1974 1
2031 1
2215 1
2292 1
2482 0
2529 2
2563 0
2625 1
2639 1
2648 1
2752 1
2846 1
2874 3
2893 3
3020 1
3055 0
3160 1
3337 3
3354 1
3550 1
3658 1
4003 1
4198 3
4386 1
4393 1
4566 2
4613 1
4807 1
4828 3
4891 1
4927 1
4956 1
5018 1
5056 3
5065 3
5079 1
5109 3
5112 3
5150 1
5233 1
5234 1
5237 1
5365 0
5393 1
5440 1
5441 0
5493 1
5501 1
5573 1
5575 1
5586 3
5588 2
5597 1
5603 1
5610 1
5636 2
5660 0
5755 1
5764 3
5795 1
5807 1
5839 1
5845 1
5859 1
5878 3
5880 1
5891 0
5974 1
5984 1
5985 1
5990 1
6040 1
6173 1
6178 1
6198 1
6226 1
6227 1
6263 3
6290 1
6298 1
6320 1
6344 1
6345 3
6433 3
6439 1
6581 1
6585 1
6639 3
6663 1
6690 3
6704 1
6722 1
6747 1
6757 0
6788 1
6870 1
6901 3
6902 1
6962 1
6987 1
7163 3
7176 3
7192 1
7243 1
7266 1
7276 1
7294 3
7313 1
7334 1
7469 0
7478 3
7494 1
7506 0
7514 1
7522 1
7532 1
7535 1
7537 1
7548 3
7570 1
7586 3
7665 1
7700 1
7716 3
7717 3
7737 3
7752 1
7776 1
7781 3
7868 3
7871 0
7887 2
7899 1
7996 1
7999 1
8015 1
8072 1
8080 1
8100 1
8102 3
8124 1
8135 3
8160 1
8184 1
8224 2
8225 1
8234 3
8236 1
8309 2
8338 3
8365 1
8417 1
8447 3
8488 0
8491 1
8534 3
8564 1
8579 1
8617 3
8684 3
8706 1
8719 1
8724 0
8766 2
8783 0
8865 0
8914 1
9133 1
9194 1
9280 3
9283 3
9308 0
9325 3
9390 1
9415 1
9419 2
9465 3
9468 1
9488 0
9528 0
9532 0
9569 3
9593 2
9648 1
9654 3
9692 3
9746 2
9767 0
9800 3
9884 1
9947 3
10004 1
10019 2
10021 1
10034 0
10052 1
10056 1
10091 1
10114 1
10122 1
10131 3
10199 1
10219 0
10258 1
10259 1
10268 1
10301 1
10373 1
10382 3
10440 1
10447 3
10448 1
10469 3
10472 1
10478 2
10518 3
10521 1
10527 1
10581 1
10592 1
10603 1
10673 0
10691 1
10695 1
10716 1
10736 1
10738 3
10753 0
10783 1
10845 1
10868 1
10880 1
10885 1
10938 2
10954 3
10963 1
10965 0
10986 3
10994 1
11000 3
11019 3
11028 1
11029 3
11030 3
11068 3
11098 1
11118 3
11165 2
11228 0
11298 1
11329 3
11358 1
11367 3
11368 0
11387 1
11416 3
11420 3
11431 0
11462 3
11463 1
11488 0
