# band1    band2    band3   band4   n_clusters
mag05_438 mag05_336 mag05_814 mag05_673 3
mag05_438 mag05_336 mag05_814 mag05_657 3
mag05_438 mag05_336 mag05_814 mag05_502 3
mag05_438 mag05_336 mag05_814 mag05_487 3
mag05_438 mag05_336 mag05_814 mag05_373 3
mag05_438 mag05_336 mag05_814 mag05_336 3

mag05_438 mag05_336 mag05_814 mag05_673 4
mag05_438 mag05_336 mag05_814 mag05_657 4
mag05_438 mag05_336 mag05_814 mag05_502 4
mag05_438 mag05_336 mag05_814 mag05_487 4
mag05_438 mag05_336 mag05_814 mag05_373 4
mag05_438 mag05_336 mag05_814 mag05_336 4

mag05_438 mag05_336 mag05_814 mag05_673 5
mag05_438 mag05_336 mag05_814 mag05_657 5
mag05_438 mag05_336 mag05_814 mag05_502 5
mag05_438 mag05_336 mag05_814 mag05_487 5
mag05_438 mag05_336 mag05_814 mag05_373 5
mag05_438 mag05_336 mag05_814 mag05_336 5

mag05_438 mag05_336 mag05_814 mag05_673 6
mag05_438 mag05_336 mag05_814 mag05_657 6
mag05_438 mag05_336 mag05_814 mag05_502 6
mag05_438 mag05_336 mag05_814 mag05_487 6
mag05_438 mag05_336 mag05_814 mag05_373 6
mag05_438 mag05_336 mag05_814 mag05_336 6

mag05_438 mag05_336 mag05_814 mag05_673 7
mag05_438 mag05_336 mag05_814 mag05_657 7
mag05_438 mag05_336 mag05_814 mag05_502 7
mag05_438 mag05_336 mag05_814 mag05_487 7
mag05_438 mag05_336 mag05_814 mag05_373 7
mag05_438 mag05_336 mag05_814 mag05_336 7

mag05_438 mag05_336 mag05_814 mag05_673 8
mag05_438 mag05_336 mag05_814 mag05_657 8
mag05_438 mag05_336 mag05_814 mag05_502 8
mag05_438 mag05_336 mag05_814 mag05_487 8
mag05_438 mag05_336 mag05_814 mag05_373 8
mag05_438 mag05_336 mag05_814 mag05_336 8

mag05_438 mag05_336 mag05_814 mag05_673 9
mag05_438 mag05_336 mag05_814 mag05_657 9
mag05_438 mag05_336 mag05_814 mag05_502 9
mag05_438 mag05_336 mag05_814 mag05_487 9
mag05_438 mag05_336 mag05_814 mag05_373 9
mag05_438 mag05_336 mag05_814 mag05_336 9

mag05_438 mag05_336 mag05_814 mag05_673 10
mag05_438 mag05_336 mag05_814 mag05_657 10
mag05_438 mag05_336 mag05_814 mag05_502 10
mag05_438 mag05_336 mag05_814 mag05_487 10
mag05_438 mag05_336 mag05_814 mag05_373 10
mag05_438 mag05_336 mag05_814 mag05_336 10
