# object_id cluster_number
615 5
830 0
893 4
894 0
937 4
946 4
996 4
1058 2
1062 10
1135 0
1136 10
1208 4
1227 3
1239 10
1349 4
1435 9
1532 5
1536 4
1558 0
1576 5
1586 5
1590 0
1597 0
1606 0
1674 0
1757 4
1761 5
1821 0
1863 2
1923 5
1974 0
2031 5
2215 0
2292 4
2482 9
2529 8
2563 3
2625 5
2639 0
2648 5
2752 0
2757 10
2846 4
2874 2
2893 2
3020 4
3055 9
3160 0
3337 2
3354 0
3550 0
3658 0
4003 4
4198 7
4386 4
4393 4
4566 6
4613 5
4750 10
4773 2
4807 0
4828 10
4891 4
4913 10
4927 0
4956 0
5018 4
5056 10
5065 5
5079 4
5109 2
5112 5
5150 4
5233 0
5234 0
5237 0
5365 9
5393 4
5440 5
5441 9
5493 4
5501 0
5573 4
5575 4
5586 2
5588 10
5597 4
5603 0
5610 0
5636 8
5660 9
5755 5
5764 10
5779 8
5795 4
5807 0
5839 0
5845 4
5859 0
5878 5
5880 0
5891 9
5974 0
5984 4
5985 0
5990 0
6040 4
6173 0
6178 4
6198 4
6226 4
6227 4
6263 10
6290 0
6298 4
6320 4
6344 0
6345 2
6433 5
6439 4
6525 1
6581 4
6585 4
6639 5
6663 0
6690 2
6704 0
6722 4
6747 4
6757 9
6788 0
6870 5
6901 10
6902 4
6944 5
6962 4
6987 0
7163 5
7176 2
7192 4
7243 4
7266 0
7276 0
7294 5
7313 4
7334 0
7469 9
7478 10
7494 4
7506 9
7514 0
7522 4
7532 5
7535 5
7537 0
7548 7
7570 4
7586 2
7665 4
7700 5
7716 7
7717 2
7737 2
7752 0
7776 4
7781 2
7868 5
7871 9
7887 1
7899 4
7996 4
7999 0
8015 4
8072 4
8080 0
8100 4
8102 2
8124 0
8135 7
8160 0
8184 0
8224 1
8225 0
8234 5
8235 1
8236 0
8309 1
8338 10
8344 6
8365 5
8417 0
8447 5
8488 3
8491 0
8534 5
8564 5
8579 4
8617 5
8684 2
8706 4
8719 0
8724 9
8766 6
8783 3
8865 3
8914 0
9073 5
9133 4
9144 5
9194 0
9280 2
9283 2
9308 9
9325 5
9390 0
9415 4
9419 1
9465 7
9468 0
9488 9
9528 3
9532 9
9569 10
9593 6
9648 0
9654 2
9692 2
9746 1
9767 9
9800 5
9884 4
9947 2
10004 4
10019 6
10021 0
10034 9
10052 4
10056 4
10086 0
10091 0
10114 0
10122 0
10131 7
10199 0
10219 3
10258 5
10259 4
10268 5
10301 0
10373 0
10382 5
10440 0
10447 10
10448 5
10466 2
10469 5
10472 0
10475 8
10478 1
10518 2
10521 4
10527 0
10581 0
10592 0
10603 4
10673 9
10691 0
10695 5
10716 0
10736 0
10738 5
10753 9
10783 4
10845 4
10868 0
10880 0
10885 4
10938 1
10954 5
10963 0
10965 2
10986 7
10994 0
11000 7
11019 10
11028 4
11029 10
11030 5
11068 2
11098 4
11112 2
11118 7
11165 10
11228 3
11297 5
11298 0
11329 10
11358 0
11367 5
11368 9
11387 0
11404 5
11416 10
11420 7
11431 9
11462 7
11463 4
11488 9
11538 5
11544 0
11546 0
11598 10
11600 4
11615 5
11647 0
11675 6
11683 1
11708 4
11726 0
11774 0
11824 7
11866 4
11879 6
11987 5
12026 2
12031 0
12150 2
12209 6
12216 9
12223 2
12234 4
12242 0
12286 0
12333 4
12374 4
12408 5
12523 0
12626 1
12721 5
12733 5
12743 0
12754 2
12786 10
12889 0
12973 9
13001 1
13027 4
13034 6
13098 4
13114 9
13162 6
13167 5
13177 1
13265 4
13268 7
13313 4
13331 4
13332 0
13386 7
13399 7
13461 4
13513 4
13553 4
13567 5
13598 10
13629 10
13662 0
13699 3
13706 0
13719 4
13722 0
13744 2
13757 4
13760 4
13762 4
13774 4
13794 0
13808 5
13834 4
13921 4
13988 0
13989 4
14017 0
14026 4
14055 4
14097 2
14231 0
14232 6
14254 0
14313 0
14314 0
14396 0
14477 0
14507 6
14537 5
14572 0
14620 0
14691 1
14721 0
14739 4
14748 9
14800 6
14820 7
14831 2
14841 0
14865 0
14878 7
14905 5
14911 7
14931 2
15068 4
15101 0
15113 9
15149 2
15234 4
15272 5
15296 0
15361 5
15421 5
15492 0
15509 0
15510 2
15522 4
15550 10
15558 1
15561 5
15634 5
15753 2
15765 5
15766 5
15774 4
15828 0
15848 0
15877 4
15956 5
15957 4
15996 2
16038 4
16118 8
16124 2
16143 3
16175 2
16216 2
16264 9
16313 0
16315 2
16385 5
16401 4
16440 0
16495 0
16523 2
16565 4
16603 10
16624 10
16631 0
16641 5
16646 0
