# object_id cluster_number
308 5
615 9
830 9
893 3
894 9
899 5
937 3
946 3
996 9
1058 8
1062 5
1135 9
1136 6
1208 3
1227 4
1239 7
1349 3
1435 2
1532 9
1536 3
1558 9
1576 8
1586 8
1590 9
1597 9
1606 9
1674 9
1757 3
1761 1
1821 9
1849 8
1863 1
1923 9
1974 9
2031 8
2171 5
2215 9
2292 3
2482 2
2529 4
2563 4
2625 8
2639 9
2648 9
2752 9
2757 5
2846 3
2874 1
2893 1
3020 3
3055 2
3160 9
3337 1
3354 9
3372 2
3550 9
3658 9
4003 3
4198 5
4386 3
4393 3
4566 7
4613 8
4668 9
4773 1
4807 9
4828 5
4891 9
4893 5
4913 1
4927 9
4956 9
4981 5
5018 3
5056 1
5065 8
5079 3
5109 1
5112 1
5150 3
5233 9
5234 3
5237 9
5365 2
5393 3
5440 8
5441 2
5493 3
5501 9
5573 3
5575 3
5586 1
5588 5
5597 3
5603 9
5610 9
5636 0
5660 2
5755 9
5764 5
5779 0
5795 9
5807 9
5839 9
5845 3
5859 9
5878 8
5880 3
5891 2
5974 3
5984 3
5985 9
5990 9
6040 3
6173 9
6178 3
6198 3
6226 3
6227 3
6263 5
6290 9
6298 9
6313 8
6320 3
6344 9
6345 1
6433 1
6439 3
6525 6
6581 3
6585 3
6639 8
6663 9
6690 1
6704 3
6722 3
6747 3
6757 2
6788 9
6870 8
6901 2
6902 3
6944 8
6962 3
6987 9
7163 8
7176 5
7192 9
7243 3
7266 9
7276 3
7294 8
7313 3
7334 9
7337 6
7469 2
7478 5
7494 3
7506 2
7514 9
7522 3
7532 9
7535 9
7537 9
7548 8
7570 9
7586 1
7665 9
7700 9
7716 8
7717 1
7737 5
7752 9
7776 3
7781 1
7868 8
7871 2
7887 6
7899 3
7996 9
7999 8
8015 9
8072 3
8080 9
8100 3
8102 1
8124 9
8135 5
8160 9
8184 9
8224 6
8225 9
8234 8
8235 6
8236 9
8309 6
8338 5
8344 2
8365 8
8417 9
8447 8
8488 4
8491 9
8534 9
8564 8
8579 3
8617 1
8684 1
8706 3
8719 9
8722 9
8724 2
8766 7
8783 4
8865 4
8914 9
9073 8
9133 3
9144 1
9194 9
9280 1
9283 1
9308 2
9321 5
9325 8
9390 9
9415 9
9419 6
9465 8
9468 9
9488 2
9528 4
9532 2
9569 5
9593 7
9648 9
9654 8
9692 1
9746 6
9767 2
9800 1
9884 3
9947 1
10004 3
10019 7
10021 8
10034 2
10052 3
10056 3
10086 9
10091 9
10114 9
10122 9
10131 8
10199 9
10219 4
10258 8
10259 3
10268 8
10301 9
10308 8
10373 3
10382 8
10440 9
10447 5
10448 9
10466 2
10469 8
10472 9
10475 6
10478 6
10518 1
10521 9
10527 3
10581 9
10592 9
10603 9
10673 2
10691 9
10695 8
10697 8
10716 9
10736 9
10738 8
10753 2
10783 9
10845 9
10868 9
10880 9
10885 3
10938 6
10954 8
10963 9
10965 1
10986 5
10994 9
11000 5
11019 5
11028 3
11029 5
11030 8
11068 1
11098 3
11112 5
11118 8
11165 5
11228 4
11297 8
11298 8
11329 5
11350 8
11358 9
11367 9
11368 2
11387 9
11401 8
11404 8
11416 5
11420 8
11431 2
11462 5
11463 3
11486 8
11488 4
11538 8
11544 9
11546 9
11598 1
11600 9
11615 8
11647 9
11675 7
11683 7
11708 3
11726 9
11774 9
11824 8
11866 9
11879 7
11987 8
12026 1
12031 9
12150 1
12209 7
12216 2
12223 1
12234 3
12242 9
12286 9
12333 3
12341 8
12374 9
12408 9
12523 9
12626 6
12721 9
12733 8
12743 9
12754 1
12786 7
12889 9
12973 2
13001 6
13027 3
13034 7
13098 9
13114 2
13162 7
13167 1
13177 6
13265 3
13268 8
13313 3
13331 3
13332 3
13386 8
13399 8
13461 3
13513 3
13553 3
13567 9
13598 1
13627 1
13629 5
13662 9
13699 4
13706 9
13719 9
13722 9
13744 5
13757 3
13760 9
13762 3
13774 3
13794 9
13808 9
13834 9
13921 3
13988 9
13989 3
14017 9
14026 9
14055 3
14097 1
14231 9
14232 7
14254 9
14313 3
14314 9
14396 9
14477 9
14507 7
14537 8
14572 9
14620 9
14691 6
14721 8
14739 9
14800 7
14820 6
14831 1
14841 9
14865 9
14878 5
14905 9
14911 6
14931 1
15068 3
15101 9
15113 2
15149 1
15234 3
15272 9
15296 9
15361 8
15421 1
15492 9
15509 9
15510 1
15522 9
15550 5
15558 6
15561 1
15634 9
15753 5
15765 9
15766 9
15774 3
15828 3
15848 9
15877 3
15949 8
15956 9
15957 3
15996 1
16038 3
16118 0
16124 1
16143 4
16170 5
16175 1
16216 1
16264 2
16313 9
16315 1
16385 9
16401 9
16440 9
16495 9
16523 1
16565 9
16603 5
16624 5
16631 9
16641 8
16646 9
16661 2
16679 9
16681 9
16685 9
16722 9
16727 9
16754 3
16793 8
16798 3
16821 3
16827 9
16858 9
16903 8
16940 9
17020 3
17035 3
17045 7
17067 1
17085 3
17123 5
17134 3
17152 5
17159 5
17199 9
17213 4
17283 4
17293 3
17361 3
17412 9
17471 6
17507 9
17546 3
17610 9
17645 5
17677 8
17700 8
17706 9
17712 6
17716 3
17732 2
17741 4
17809 9
17882 9
17886 2
17905 1
17906 7
17924 9
17927 4
18002 3
18013 3
18027 3
18029 9
18032 5
18044 2
18050 1
18062 9
18069 9
18103 8
18120 9
18142 1
18196 9
18246 5
18247 9
18265 1
18327 9
18350 3
18360 7
18368 8
18407 7
18515 5
18538 5
18568 3
18576 8
18598 9
18608 2
18667 9
18697 5
18813 7
18817 1
18964 7
19021 9
19094 1
19168 1
19192 5
19326 9
19354 3
19372 9
19379 1
19443 3
19603 1
19680 3
19687 2
19692 3
19696 9
19733 4
19749 3
19754 7
19824 8
19857 8
19859 2
19889 3
19895 9
19957 5
19966 7
19990 5
20004 9
20046 9
20051 9
20052 9
20060 6
20132 8
20133 3
20266 9
20276 3
20357 9
20366 4
20368 5
20380 2
20523 8
20541 3
20547 9
20556 8
20584 9
20623 9
20652 2
20660 2
20701 1
20716 9
20771 3
20788 7
20822 3
20851 1
20877 8
20925 8
20960 5
21036 1
21050 9
21104 3
21144 8
21176 8
21185 9
21186 2
21193 3
21244 9
21274 1
21294 1
21336 1
21340 7
21364 8
21378 8
21390 8
21405 9
21419 8
21446 9
21480 9
21489 8
21540 9
21545 8
21600 3
21601 9
21619 9
21627 3
21631 2
21698 3
21708 9
21773 3
21836 3
21862 3
21876 8
21895 3
21910 5
21929 1
21930 2
22040 2
22063 1
22073 9
22101 5
22127 9
22164 3
22198 9
22241 8
22268 8
22412 8
22428 7
22466 1
22510 3
22565 9
22585 5
22644 8
22659 9
22673 1
22725 9
22750 7
22754 7
22810 9
22828 8
22866 8
22877 0
22884 7
22940 8
22961 9
23060 7
23180 2
23259 1
23271 9
23288 2
23304 2
23329 8
23348 9
23358 5
23366 9
23369 1
23404 5
23459 2
23521 7
23559 3
23591 1
23600 8
23606 0
23744 1
23745 9
23752 1
23775 3
23781 9
23806 3
23813 5
23946 5
23992 9
24006 9
24011 9
24036 7
24052 9
24079 8
24102 8
24166 9
24182 8
24213 5
24237 2
24239 8
24256 9
24257 8
24263 4
24265 5
24268 9
24384 8
24385 1
24400 1
24439 6
24460 8
24482 9
24492 1
24524 8
24528 7
24559 5
24581 6
24584 8
24589 8
24593 1
24661 1
24684 1
24738 2
24741 9
24767 7
24787 1
24822 9
24828 1
24897 2
24920 9
24927 1
24936 1
24954 8
24969 5
25121 1
25127 8
25137 9
25171 8
25191 1
25194 7
25237 9
25256 1
25282 7
25300 8
25313 6
25370 8
25417 1
25447 4
25459 5
25475 5
25526 8
25538 9
25603 1
25607 2
25618 9
25622 8
25625 1
25630 8
25705 5
25716 7
25775 9
25776 2
25777 9
25781 1
25799 5
25803 2
25834 5
25862 7
25878 6
25887 3
25912 3
25928 5
25931 9
25950 9
26037 9
26055 4
26105 5
26107 9
26122 9
26172 2
26178 8
26180 9
26182 8
26191 1
26209 3
26229 8
26239 8
26256 7
26309 7
26318 8
26402 1
26427 3
26444 8
26454 3
26478 9
26480 8
26492 2
26507 9
26535 9
26562 5
26573 9
26578 9
26597 9
26609 3
26677 2
26735 3
26752 3
26809 8
26813 8
26816 2
26824 8
26848 1
26852 2
26858 9
26862 5
26878 4
26882 2
26912 9
26946 5
26992 5
27024 5
27051 9
27086 2
27131 4
27136 1
27160 8
27167 5
27180 8
27209 9
27210 9
27219 3
27223 8
27240 9
27286 3
27347 9
27349 5
27355 7
27366 9
27378 8
27380 1
27384 9
27398 9
27423 5
27433 9
27440 1
27444 8
27468 5
27500 3
27505 8
27566 9
27594 5
27623 4
27626 2
27641 7
27651 2
27667 2
27671 1
27694 2
27700 9
27704 2
27709 1
27726 2
27735 9
27736 8
27745 1
27767 1
27804 1
27806 6
27809 6
27811 1
27831 8
27837 2
27889 6
27919 7
27960 1
27970 0
27975 5
27995 5
28030 4
28044 1
28246 1
28309 5
28437 1
28497 9
28604 3
28619 4
28632 1
28694 9
28697 6
28715 5
28725 3
28764 9
28886 5
28937 1
28940 5
29029 3
29036 3
29058 1
29106 1
29139 9
29157 8
29214 1
29356 2
29403 8
29413 8
29477 9
29506 4
29531 2
29540 6
29563 9
29583 1
29614 7
29629 9
29662 1
29664 1
29752 3
29762 8
29799 9
29823 5
29830 7
29861 1
29895 2
29917 1
29963 1
29985 8
30025 2
30048 9
30064 7
30073 1
30089 9
30092 3
30145 1
30200 2
30216 7
30230 4
30241 5
30247 5
30282 6
30343 8
30348 9
30389 3
30403 9
30415 9
30436 1
30444 8
30449 2
30477 2
30502 9
30569 9
30660 8
30694 1
30700 9
30705 4
30712 4
30728 9
30736 6
30741 9
30743 4
30753 8
30758 1
30776 8
30788 7
30795 5
30822 8
30834 1
30846 6
30868 8
30869 5
30879 2
30950 5
31001 5
31051 8
31079 8
31094 8
31101 4
31103 5
31130 8
31157 3
31158 9
31190 1
31204 2
31249 5
31266 7
31311 1
31324 9
31366 1
31375 2
31416 8
31457 8
31483 7
31501 9
31506 9
31539 4
31544 2
31572 8
31590 9
31643 5
31658 2
31676 1
31683 3
31695 8
31713 5
31757 1
