# object_id cluster_number
308 2
615 7
830 0
893 5
894 5
899 2
937 5
946 5
996 5
1058 2
1062 2
1135 0
1136 4
1208 5
1227 8
1239 6
1349 5
1435 1
1532 7
1536 5
1558 0
1576 7
1586 7
1590 0
1597 5
1606 0
1674 7
1757 5
1761 7
1821 7
1849 0
1863 2
1923 7
1974 0
2031 5
2171 4
2215 0
2292 5
2482 1
2529 8
2563 8
2625 7
2639 0
2648 0
2752 0
2757 1
2846 5
2874 2
2893 2
3020 5
3055 3
3160 0
3337 4
3354 0
3372 1
3550 5
3658 5
4003 5
4198 7
4386 5
4393 5
4566 6
4613 7
4668 7
4750 6
4773 7
4807 0
4828 1
4891 5
4893 2
4913 2
4927 0
4956 5
5018 5
5056 4
5065 7
5079 5
5109 2
5112 7
5150 5
5233 0
5234 5
5237 0
5365 6
5393 5
5440 7
5441 1
5493 5
5501 0
5573 5
5575 5
5586 2
5588 6
5597 5
5603 5
5610 0
5636 8
5660 1
5755 0
5764 2
5779 6
5795 5
5807 5
5839 0
5845 5
5859 0
5878 7
5880 5
5891 3
5974 5
5984 5
5985 0
5990 5
6040 5
6173 5
6178 5
6198 5
6226 5
6227 5
6263 1
6290 0
6298 0
6313 5
6320 5
6344 5
6345 7
6433 7
6439 5
6525 6
6581 5
6585 5
6639 7
6663 5
6690 7
6704 0
6722 0
6747 5
6757 1
6788 5
6870 7
6901 1
6902 5
6944 7
6962 5
6987 0
7163 7
7176 2
7192 5
7243 5
7266 0
7276 5
7294 7
7313 5
7334 5
7469 3
7478 4
7494 5
7506 1
7514 0
7522 5
7532 7
7535 0
7537 0
7548 7
7570 5
7586 2
7665 5
7700 7
7716 7
7717 2
7737 2
7752 0
7776 5
7781 2
7868 7
7871 1
7887 4
7899 5
7996 5
7999 5
8015 0
8072 0
8080 0
8100 5
8102 2
8124 7
8135 7
8160 0
8184 5
8224 4
8225 0
8234 7
8235 6
8236 0
8309 4
8338 4
8344 6
8365 7
8417 0
8447 7
8488 8
8491 0
8534 7
8564 7
8579 5
8617 7
8684 2
8706 5
8719 0
8722 0
8724 1
8766 6
8783 8
8865 3
8914 0
9073 0
9133 5
9144 7
9194 5
9280 2
9283 2
9308 1
9321 2
9325 7
9390 0
9415 0
9419 4
9465 7
9468 0
9488 3
9528 8
9532 1
9569 1
9593 6
9648 0
9654 2
9692 7
9746 4
9767 3
9800 7
9884 5
9947 2
10004 0
10019 1
10021 0
10034 3
10052 5
10056 5
10086 0
10091 0
10114 5
10122 0
10131 7
10199 0
10219 8
10258 7
10259 5
10268 0
10301 0
10308 7
10373 5
10382 7
10440 0
10447 1
10448 7
10469 7
10472 5
10475 6
10478 6
10518 2
10521 5
10527 5
10581 5
10592 0
10603 5
10673 3
10691 0
10695 7
10697 0
10716 0
10736 0
10738 7
10753 1
10783 4
10845 5
10868 0
10880 0
10885 5
10938 4
10954 0
10963 0
10965 2
10986 4
10994 0
11000 7
11019 1
11028 5
11029 4
11030 7
11068 4
11098 0
11112 2
11118 7
11165 4
11228 8
11297 7
11298 0
11329 4
11350 7
11358 0
11367 0
11368 3
11387 5
11401 0
11404 7
11416 4
11420 2
11431 1
11462 7
11463 5
11486 7
11488 3
11538 7
11544 0
11546 0
11598 2
11600 5
11615 7
11647 0
11675 6
11683 6
11708 0
11726 7
11774 0
11824 7
11866 5
11879 6
11987 0
12026 2
12031 0
12150 2
12209 6
12216 1
12223 7
12234 5
12242 0
12286 0
12333 5
12341 7
12374 5
12408 0
12523 0
12626 4
12721 7
12733 7
12743 0
12754 2
12786 1
12889 0
12973 1
13001 4
13027 5
13034 1
13098 5
13114 1
13162 6
13167 7
13177 4
13265 5
13268 7
13313 5
13331 5
13332 5
13386 7
13399 7
13461 5
13513 5
13553 5
13567 7
13598 4
13627 2
13629 2
13662 0
13699 8
13706 0
13719 0
13722 0
13744 2
13757 0
13760 5
13762 5
13774 5
13794 0
13808 0
13834 5
13921 5
13988 5
13989 5
14017 0
14026 0
14055 5
14097 2
14231 0
14232 6
14254 0
14313 5
14314 0
14396 0
14477 0
14507 6
14537 7
14572 7
14620 0
14691 4
14721 0
14739 5
14748 1
14800 6
14820 4
14831 2
14841 0
14865 0
14878 7
14905 0
14911 7
14931 2
15068 5
15101 5
15113 1
15149 7
15234 5
15272 0
15296 0
15361 0
15414 6
15421 7
15492 0
15509 5
15510 2
15522 5
15550 2
15558 4
15561 7
15634 0
15753 2
15765 5
15766 0
15774 5
15828 0
15848 0
15877 5
15949 7
15956 7
15957 5
15996 2
16038 5
16118 6
16124 2
16143 8
16170 4
16175 2
16216 2
16264 1
16313 0
16315 2
16385 0
16401 0
16440 0
16495 0
16523 2
16565 0
16603 4
16624 2
16631 0
16641 7
16646 0
16661 2
16679 0
16681 5
16685 5
16722 0
16727 0
16754 5
16793 0
16798 5
16821 5
16827 5
16858 0
16903 7
16940 0
17020 5
17035 5
17045 6
17067 2
17085 0
17123 7
17134 5
17152 4
17159 1
17199 7
17213 8
17283 8
17293 5
17361 5
17412 5
17471 6
17507 5
17546 5
17610 5
17645 1
17677 7
17700 7
17706 0
17712 4
17716 5
17732 1
17741 3
17809 5
17882 5
17886 1
17905 7
17906 6
17924 5
17927 8
18002 5
18013 5
18027 5
18029 0
18032 4
18044 6
18050 2
18062 5
18069 0
18103 4
18120 0
18142 7
18196 0
18246 1
18247 0
18265 2
18327 0
18350 5
18360 6
18368 0
18407 4
18538 4
18568 5
18576 7
18598 0
18608 3
18667 0
18697 4
18813 1
18817 2
18964 6
19021 0
19094 2
19168 7
19192 4
19326 0
19354 0
19372 7
19379 2
19443 5
19603 2
19680 5
19687 1
19692 5
19696 5
19733 8
19749 5
19754 4
19824 7
19857 0
19859 1
19889 5
19895 0
19957 2
19966 1
19990 1
20004 7
20046 0
20051 0
20052 0
20060 6
20132 7
20133 5
20266 0
20276 0
20357 5
20366 3
20368 4
20380 1
20523 7
20541 5
20547 0
20556 0
20584 0
20623 0
20652 1
20660 3
20701 2
20716 0
20771 5
20788 6
20822 0
20851 2
20877 0
20925 2
20960 1
21036 2
21050 5
21104 5
21144 7
21176 0
21185 0
21186 1
21193 0
21244 5
21274 2
21294 2
21336 7
21340 6
21364 7
21378 7
21390 2
21405 5
21419 7
21446 5
21480 5
21489 7
21540 5
21545 7
21600 5
21601 0
21619 7
21627 0
21631 2
21698 5
21708 0
21773 5
21836 5
21862 0
21876 7
21895 5
21910 2
21929 2
21930 1
22040 3
22063 2
22073 0
22101 2
22127 0
22164 5
22198 0
22241 7
22268 7
22412 7
22428 6
22466 2
22510 5
22565 0
22585 1
22644 2
22659 0
22673 2
22725 0
22750 1
22754 6
22810 0
22828 0
22866 7
22877 6
22884 6
22940 0
22961 0
23060 1
23180 1
23259 7
23271 0
23288 1
23304 1
23329 2
23348 0
23358 2
23366 0
23369 2
23404 2
23459 1
23521 6
23559 5
23591 2
23600 7
23606 8
23744 2
23745 5
23752 2
23775 5
23781 0
23806 5
23813 4
23946 2
23992 0
24006 0
24011 7
24036 6
24052 0
24079 0
24102 7
24109 7
24166 7
24182 0
24213 2
24237 1
24239 7
24256 0
24257 7
24263 3
24265 4
24268 5
24384 7
24385 7
24400 7
24439 4
24460 0
24482 0
24492 2
24524 7
24528 6
24559 2
24581 4
24584 7
24589 7
24593 7
24661 2
24684 2
24738 1
24741 0
24767 6
24787 2
24822 7
24828 2
24897 6
24920 7
24927 7
24936 2
24954 7
24969 2
25121 2
25127 0
25137 0
25171 7
25191 2
25194 3
25237 7
25256 7
25282 1
25300 5
25313 4
25370 7
25417 7
25447 8
25459 2
25475 1
25526 0
25538 7
25603 2
25607 1
25618 0
25622 7
25625 2
25630 7
25705 1
25716 6
25775 0
25776 1
25777 0
25781 2
25799 4
25803 1
25834 4
25862 6
25878 4
25887 5
25912 5
25928 2
25931 0
25950 0
26037 0
26055 3
26105 4
26107 0
26122 0
26172 3
26178 7
26180 0
26182 7
26191 1
26209 5
26229 7
26239 7
26256 6
26309 3
26318 7
26402 2
26427 0
26444 0
26454 5
26478 0
