# object_id cluster_number
615 3
894 3
1058 2
1062 1
1532 1
1558 1
1576 1
1590 3
1597 3
1863 0
1923 1
2648 3
4927 1
4956 3
5065 1
5150 3
5233 2
5237 3
5393 3
5493 3
5588 0
5610 3
5764 0
5878 1
5880 3
5990 3
6226 3
6290 3
6345 0
6433 0
6690 0
6901 0
6902 3
6962 3
7163 1
7192 3
7266 3
7294 1
7532 1
7535 3
7548 1
7586 3
7700 1
7716 2
7717 0
7737 0
7752 3
7776 3
7781 0
7868 1
7996 3
8080 3
8102 0
8124 1
8135 2
8184 3
8224 2
8225 3
8234 1
8365 1
8447 1
8564 1
8684 1
8766 1
8914 3
9133 3
9283 1
9593 2
9654 2
9692 0
9800 1
9947 0
10004 3
10091 1
10114 3
10131 1
10268 3
10301 3
10382 1
10440 3
10448 1
10469 1
10521 3
10581 3
10592 3
10691 3
10695 1
10938 2
10954 3
11030 1
11098 2
11165 2
11298 3
11387 3
11431 0
11615 1
11675 2
12209 1
12242 3
12408 1
12626 2
12754 0
12786 0
13162 0
13167 1
13265 3
13268 1
13313 3
13757 3
13808 1
13921 3
14477 1
14620 3
14820 2
14865 3
14878 2
14905 3
14931 1
15272 1
15561 1
15634 1
15957 3
16313 3
16523 0
16754 3
16903 1
17020 3
17035 3
17123 2
17159 2
17546 3
17886 0
18013 3
18032 2
18050 0
18069 3
18142 0
18247 3
18265 0
18407 2
18598 3
18697 0
18817 1
19021 3
19824 0
19895 3
20266 3
20368 1
20547 3
20623 3
20701 0
20771 3
20788 0
20822 3
20851 1
20925 1
21036 0
21050 3
21104 3
21144 3
21193 3
21244 3
21294 0
21340 1
21378 2
21390 0
21446 3
21480 3
21489 1
21601 3
21876 1
22164 3
22241 1
22268 1
22644 1
22754 0
22884 1
22961 3
23348 3
23358 0
23366 3
23781 3
23813 2
24079 1
24102 1
24265 2
24384 2
24385 1
24400 0
24439 2
24528 0
24787 1
24897 0
24954 1
25237 1
25313 2
25630 1
25781 1
25834 3
26107 3
26178 1
26318 1
26507 1
26573 1
26578 3
26809 1
26852 0
26858 3
26946 1
27160 1
27219 3
27366 3
27423 0
27709 1
27735 1
27736 1
27809 2
27831 2
27889 2
28246 1
28497 3
28940 2
29214 0
29861 3
30048 3
30694 0
30741 3
30758 1
30834 0
30869 2
30950 2
31001 2
31130 1
31190 1
31249 0
31457 3
31643 2
31695 0
31976 3
32461 1
32486 1
32571 3
32724 0
32740 1
32820 2
33022 0
33125 0
33254 3
33300 1
33525 1
33588 2
33835 3
34047 1
34161 1
34171 0
34292 1
34311 1
34313 3
34392 2
34470 1
34478 2
34486 0
34513 1
34526 2
34549 1
34551 2
34557 1
34612 2
34639 3
34642 1
34646 0
34648 0
34716 2
34737 0
34744 3
34745 2
34762 2
34763 2
34802 0
34829 2
34831 3
34880 1
34885 1
34898 2
34912 2
34917 2
34921 3
34950 1
34970 0
34994 3
35005 1
35011 3
35060 0
35065 3
35135 0
35146 2
35174 1
35188 2
35201 2
35207 1
35221 1
35281 2
35324 2
35335 1
35339 3
35341 2
35344 1
35362 2
35382 3
35403 2
35405 0
35413 2
35439 2
35473 3
35492 3
35505 2
35525 1
35534 1
35541 0
35556 2
35558 2
35605 2
35607 2
35643 2
35649 1
35672 2
35690 2
35693 1
35699 1
35713 3
35718 1
35719 2
35721 3
35723 3
35766 2
35776 2
35795 3
35798 2
35813 2
35820 2
35890 1
35892 0
35894 3
35905 1
35909 2
35925 1
35937 2
35944 2
35946 2
35948 2
35949 3
35960 1
35998 1
36013 3
36036 1
36037 1
36044 3
36073 3
36095 2
36099 2
36106 0
36117 1
36132 3
36141 2
36148 1
36150 2
36170 3
36204 2
36207 2
36228 1
36235 3
36237 2
36244 3
36257 3
36290 0
36296 2
36317 1
36321 2
36339 3
36345 2
36350 3
36363 2
36366 3
36416 2
36420 2
36431 0
36432 0
36435 3
36436 3
36445 2
36477 3
36483 3
36495 0
36508 1
36513 3
36523 0
36531 1
36553 3
36565 0
36572 0
36573 3
36610 3
36622 3
36624 3
36632 0
36634 2
36637 3
36639 3
36641 2
36651 3
36659 3
36680 3
36725 2
36729 3
36733 2
36740 0
36751 3
36758 3
36805 1
36816 2
36835 0
36838 1
36840 2
36845 2
36858 3
36864 0
36869 2
36870 2
36901 1
36909 0
36919 2
36923 2
36929 1
36932 3
36939 0
36966 1
36981 2
37006 2
37007 3
37017 3
37025 3
37037 2
37043 1
37085 2
37095 2
37134 2
37151 2
37181 2
37221 3
37227 0
37229 0
37237 0
37246 3
37260 1
37267 1
37274 0
37278 2
37291 3
37292 2
37308 2
37317 1
37325 2
37331 0
37343 3
37344 2
37358 3
37361 0
37403 2
37424 1
37430 3
37439 3
37445 3
37456 0
37461 1
37469 3
37472 2
37478 2
37494 2
37495 3
37504 3
37507 1
37509 0
37516 1
37533 1
37538 3
37539 0
37542 3
37554 1
37565 1
37573 2
37574 3
37582 3
37589 2
37591 1
37596 0
