# band limit n_objects
mag05_225 0.1000 10
mag05_225 0.2000 53
mag05_225 0.3000 167
mag05_225 0.4000 384
mag05_225 0.5000 744
mag05_225 0.6000 1291
mag05_225 0.7000 1873
mag05_225 0.8000 2576
mag05_225 0.9000 3382
mag3_225 0.1000 204
mag3_225 0.2000 1196
mag3_225 0.3000 3246
mag3_225 0.4000 5972
mag3_225 0.5000 9144
mag3_225 0.6000 12651
mag3_225 0.7000 16272
mag3_225 0.8000 19859
mag3_225 0.9000 23452
mag05_336 0.1000 30
mag05_336 0.2000 198
mag05_336 0.3000 682
mag05_336 0.4000 1533
mag05_336 0.5000 2635
mag05_336 0.6000 4007
mag05_336 0.7000 5584
mag05_336 0.8000 7334
mag05_336 0.9000 9259
mag3_336 0.1000 611
mag3_336 0.2000 3572
mag3_336 0.3000 8512
mag3_336 0.4000 14679
mag3_336 0.5000 21636
mag3_336 0.6000 28571
mag3_336 0.7000 34830
mag3_336 0.8000 40030
mag3_336 0.9000 44025
mag05_373 0.1000 0
mag05_373 0.2000 11
mag05_373 0.3000 27
mag05_373 0.4000 51
mag05_373 0.5000 105
mag05_373 0.6000 189
mag05_373 0.7000 297
mag05_373 0.8000 432
mag05_373 0.9000 593
mag3_373 0.1000 36
mag3_373 0.2000 236
mag3_373 0.3000 613
mag3_373 0.4000 1173
mag3_373 0.5000 1929
mag3_373 0.6000 2887
mag3_373 0.7000 4074
mag3_373 0.8000 5408
mag3_373 0.9000 6983
mag05_438 0.1000 53
mag05_438 0.2000 343
mag05_438 0.3000 1090
mag05_438 0.4000 2270
mag05_438 0.5000 3786
mag05_438 0.6000 5568
mag05_438 0.7000 7751
mag05_438 0.8000 10155
mag05_438 0.9000 12945
mag3_438 0.1000 1068
mag3_438 0.2000 5528
mag3_438 0.3000 12826
mag3_438 0.4000 22475
mag3_438 0.5000 33024
mag3_438 0.6000 42314
mag3_438 0.7000 48628
mag3_438 0.8000 52661
mag3_438 0.9000 55358
mag05_487 0.1000 3
mag05_487 0.2000 19
mag05_487 0.3000 49
mag05_487 0.4000 109
mag05_487 0.5000 228
mag05_487 0.6000 381
mag05_487 0.7000 590
mag05_487 0.8000 825
mag05_487 0.9000 1074
mag3_487 0.1000 64
mag3_487 0.2000 429
mag3_487 0.3000 1142
mag3_487 0.4000 2116
mag3_487 0.5000 3352
mag3_487 0.6000 4870
mag3_487 0.7000 6782
mag3_487 0.8000 8867
mag3_487 0.9000 11156
mag05_502 0.1000 4
mag05_502 0.2000 21
mag05_502 0.3000 58
mag05_502 0.4000 121
mag05_502 0.5000 249
mag05_502 0.6000 418
mag05_502 0.7000 637
mag05_502 0.8000 894
mag05_502 0.9000 1188
mag3_502 0.1000 68
mag3_502 0.2000 461
mag3_502 0.3000 1214
mag3_502 0.4000 2255
mag3_502 0.5000 3597
mag3_502 0.6000 5291
mag3_502 0.7000 7274
mag3_502 0.8000 9499
mag3_502 0.9000 11985
mag05_555 0.1000 173
mag05_555 0.2000 1164
mag05_555 0.3000 3103
mag05_555 0.4000 5788
mag05_555 0.5000 9414
mag05_555 0.6000 14016
mag05_555 0.7000 19584
mag05_555 0.8000 25913
mag05_555 0.9000 32757
mag3_555 0.1000 2942
mag3_555 0.2000 13556
mag3_555 0.3000 30725
mag3_555 0.4000 47113
mag3_555 0.5000 56272
mag3_555 0.6000 60368
mag3_555 0.7000 62390
mag3_555 0.8000 63536
mag3_555 0.9000 64215
mag05_657 0.1000 14
mag05_657 0.2000 94
mag05_657 0.3000 395
mag05_657 0.4000 755
mag05_657 0.5000 1181
mag05_657 0.6000 1646
mag05_657 0.7000 2248
mag05_657 0.8000 2973
mag05_657 0.9000 3808
mag3_657 0.1000 844
mag3_657 0.2000 3285
mag3_657 0.3000 11789
mag3_657 0.4000 42868
mag3_657 0.5000 66553
mag3_657 0.6000 67725
mag3_657 0.7000 67759
mag3_657 0.8000 67778
mag3_657 0.9000 67793
mag05_673 0.1000 7
mag05_673 0.2000 37
mag05_673 0.3000 86
mag05_673 0.4000 209
mag05_673 0.5000 423
mag05_673 0.6000 642
mag05_673 0.7000 905
mag05_673 0.8000 1255
mag05_673 0.9000 1626
mag3_673 0.1000 98
mag3_673 0.2000 682
mag3_673 0.3000 1673
mag3_673 0.4000 2992
mag3_673 0.5000 4908
mag3_673 0.6000 7696
mag3_673 0.7000 11204
mag3_673 0.8000 15291
mag3_673 0.9000 19655
mag05_814 0.1000 100
mag05_814 0.2000 664
mag05_814 0.3000 2239
mag05_814 0.4000 4947
mag05_814 0.5000 8317
mag05_814 0.6000 12353
mag05_814 0.7000 17625
mag05_814 0.8000 23720
mag05_814 0.9000 29512
mag3_814 0.1000 1966
mag3_814 0.2000 11976
mag3_814 0.3000 29333
mag3_814 0.4000 42298
mag3_814 0.5000 49590
mag3_814 0.6000 53681
mag3_814 0.7000 56122
mag3_814 0.8000 57756
mag3_814 0.9000 58841
