# band wave_mean wave_median wave_std wave_var wave_min wave_max num_obj unc_mean unc_median unc_std unc_var unc_min unc_max
mag05_225 20.2182 20.5230 0.9088 0.8259 17.5630 21.2180 53 0.1394 0.1480 0.0463 0.0021 0.0380 0.1990
mag3_225 20.2153 20.5190 0.9606 0.9228 15.0330 21.2190 1196 0.1422 0.1510 0.0425 0.0018 0.0120 0.1990
mag05_336 21.4020 21.7050 0.8429 0.7104 18.3960 22.2650 198 0.1487 0.1600 0.0426 0.0018 0.0350 0.1990
mag3_336 21.2860 21.5710 0.9457 0.8943 15.5840 22.2790 3572 0.1412 0.1480 0.0416 0.0017 0.0100 0.1990
mag05_373 19.0396 18.8850 0.4699 0.2208 18.3610 19.7520 11 0.1405 0.1270 0.0310 0.0010 0.1000 0.1900
mag3_373 18.9879 19.2285 0.8333 0.6943 15.0060 19.8520 236 0.1469 0.1585 0.0416 0.0017 0.0210 0.1990
mag05_438 22.9107 23.1270 0.8458 0.7153 19.0380 23.7990 343 0.1479 0.1570 0.0411 0.0017 0.0310 0.1990
mag3_438 22.7686 23.0610 0.9778 0.9560 16.6470 23.7930 5528 0.1401 0.1470 0.0426 0.0018 0.0080 0.1990
mag05_487 19.8847 19.9290 0.6664 0.4440 18.5240 20.8200 19 0.1349 0.1310 0.0387 0.0015 0.0690 0.1970
mag3_487 19.8930 20.0890 0.8288 0.6869 16.1590 20.8480 429 0.1440 0.1540 0.0409 0.0017 0.0230 0.1990
mag05_502 20.2521 20.3580 0.6999 0.4899 18.8030 21.1640 21 0.1356 0.1350 0.0403 0.0016 0.0660 0.1950
mag3_502 20.2588 20.4880 0.8309 0.6904 16.3980 21.2050 461 0.1440 0.1510 0.0408 0.0017 0.0220 0.1990
mag05_555 23.6921 23.9305 0.8609 0.7412 18.6000 24.6280 1164 0.1446 0.1530 0.0401 0.0016 0.0250 0.1990
mag3_555 23.4988 23.8090 1.0251 1.0509 16.3150 24.6300 13556 0.1368 0.1440 0.0440 0.0019 0.0060 0.1990
mag05_657 18.8326 19.0270 0.7073 0.5002 16.4740 19.5360 94 0.1506 0.1575 0.0399 0.0016 0.0490 0.1990
mag3_657 18.5052 18.8180 0.9591 0.9198 13.9540 19.5410 3285 0.1344 0.1430 0.0468 0.0022 0.0150 0.1990
mag05_673 20.2815 20.4480 0.8179 0.6690 18.1920 21.1430 37 0.1428 0.1450 0.0444 0.0020 0.0510 0.1980
mag3_673 20.1842 20.3490 0.8441 0.7125 15.9870 21.1550 682 0.1439 0.1520 0.0408 0.0017 0.0190 0.1990
mag05_814 22.5684 22.7890 0.8540 0.7294 18.2420 23.4880 664 0.1445 0.1500 0.0408 0.0017 0.0250 0.1990
mag3_814 22.4904 22.7510 0.9022 0.8139 15.5880 23.4720 11976 0.1419 0.1490 0.0406 0.0017 0.0060 0.1990
