# band  wave_mean wave_median wave_std wave_var wave_min wave_max num_obj unc_mean unc_median unc_std unc_var unc_min unc_max
mag05_225 27.3019 27.2480 1.8395 3.3839 17.5630 34.5560 57246 5.0108 3.2130 6.6038 43.6106 0.0380 99.2370
mag3_225  24.8395 24.8260 1.7743 3.1481 15.0330 34.4820 57586 1.7222 1.0620 3.4254 11.7336 0.0120 99.2550
mag05_336 27.2171 27.1210 1.7994 3.2378 18.3960 34.5170 62201 3.0103 1.8630 4.6498 21.6202 0.0350 99.6080
mag3_336  24.7909 24.7670 1.6908 2.8586 15.5840 32.9110 61787 1.0138 0.6350 2.2666 5.1377 0.0100 97.3100
mag05_373 27.0925 27.1300 1.5094 2.2784 18.3610 33.1960 55975 7.4068 5.7030 7.4092 54.8969 0.1000 99.5840
mag3_373  24.6248 24.6180 1.4844 2.2035 15.0060 31.3890 55908 2.5935 1.8130 3.9558 15.6480 0.0210 99.9990
mag05_438 28.0884 28.1420 1.4576 2.1245 19.0380 35.2740 66365 1.9187 1.4870 2.5128 6.3141 0.0310 99.3670
mag3_438  25.6390 25.7040 1.4568 2.1223 16.6470 33.3360 64692 0.6917 0.4930 1.5727 2.4733 0.0080 92.2710
mag05_487 27.5911 27.6780 1.3680 1.8714 18.5240 33.4230 63821 5.5589 4.6540 4.9731 24.7316 0.0690 99.0640
mag3_487  25.1825 25.2450 1.4527 2.1103 16.1590 31.7020 60956 2.0782 1.5340 3.3491 11.2165 0.0230 98.5400
mag05_502 27.8402 27.9260 1.3533 1.8315 18.8030 33.7490 64322 5.2724 4.4180 4.7998 23.0378 0.0660 97.6530
mag3_502  25.4494 25.5050 1.4316 2.0495 16.3980 31.9500 61715 1.9670 1.4660 3.0089 9.0537 0.0220 96.6090
mag05_555 27.6630 27.8730 1.1615 1.3492 18.6000 34.7130 67433 0.9754 0.9120 1.0019 1.0038 0.0250 76.3470
mag3_555  25.2995 25.4470 1.2657 1.6019 16.3150 32.7140 66539 0.4019 0.3140 1.0470 1.0961 0.0060 75.7670
mag05_657 24.0966 24.2680 0.7665 0.5875 16.4740 30.3510 67791 1.7092 1.7590 0.4868 0.2370 0.0490 28.9730
mag3_657  20.7697 20.9240 0.6830 0.4664 13.9540 26.5350 67819 0.3652 0.3770 0.0881 0.0078 0.0150 4.9960
mag05_673 27.2649 27.3290 1.2935 1.6731 18.1920 33.4000 65314 4.1261 3.4430 3.9539 15.6335 0.0510 99.4270
mag3_673  24.8732 24.8930 1.3724 1.8834 15.9870 31.5570 61979 1.5825 1.1410 2.8029 7.8560 0.0190 98.3180
mag05_814 26.8463 26.8790 1.3215 1.7463 18.2420 33.6420 67059 1.2789 0.9820 1.9852 3.9409 0.0250 95.2470
mag3_814  24.3336 24.3160 1.3509 1.8249 15.5880 31.7060 63759 0.5440 0.3150 1.9179 3.6784 0.0060 88.7010
