# object_id magnitude
223.0 21.832
229.0 21.037
253.0 20.981
269.0 20.918
270.0 21.171
285.0 20.97
288.0 21.153
303.0 21.106
306.0 21.248
308.0 20.81
309.0 21.247
310.0 20.73
313.0 21.028
333.0 20.772
334.0 21.354
349.0 21.218
366.0 21.098
379.0 21.132
382.0 21.287
383.0 21.318
398.0 20.859
405.0 21.139
413.0 20.984
414.0 21.144
417.0 21.361
418.0 21.166
422.0 21.294
425.0 21.16
427.0 21.405
434.0 21.085
435.0 20.958
443.0 21.077
444.0 21.256
449.0 21.321
457.0 21.02
464.0 21.066
471.0 21.11
472.0 20.775
481.0 21.027
487.0 21.156
491.0 20.784
497.0 21.141
507.0 21.031
515.0 20.941
517.0 21.019
519.0 21.23
522.0 21.265
524.0 21.019
529.0 21.338
536.0 21.08
538.0 21.045
545.0 20.746
553.0 21.341
554.0 21.102
557.0 20.974
564.0 20.967
565.0 20.821
575.0 20.942
577.0 20.844
587.0 20.929
612.0 20.928
614.0 21.175
615.0 20.253
627.0 20.863
630.0 21.131
631.0 20.743
634.0 21.106
638.0 21.52
645.0 20.636
646.0 21.105
651.0 21.03
657.0 20.955
659.0 21.178
666.0 21.195
683.0 21.468
685.0 20.854
687.0 20.812
688.0 20.707
691.0 20.864
696.0 21.229
698.0 20.912
701.0 20.552
702.0 21.196
708.0 20.573
715.0 20.848
719.0 21.106
723.0 21.076
730.0 21.099
731.0 20.764
738.0 21.636
740.0 21.072
746.0 20.996
747.0 21.144
752.0 20.969
753.0 20.965
756.0 21.425
763.0 21.325
767.0 20.842
768.0 21.151
772.0 22.28
776.0 20.905
780.0 21.032
781.0 21.4
784.0 20.408
785.0 20.739
789.0 20.425
795.0 20.858
798.0 21.307
805.0 20.909
810.0 20.125
816.0 21.354
817.0 21.116
818.0 20.932
819.0 21.04
825.0 20.655
826.0 20.599
829.0 22.292
830.0 20.279
831.0 20.782
836.0 21.111
838.0 20.365
842.0 20.39
844.0 20.697
845.0 20.689
847.0 21.46
854.0 21.356
857.0 20.523
859.0 20.93
864.0 20.844
865.0 20.675
866.0 20.943
872.0 21.366
877.0 21.381
881.0 21.46
882.0 21.084
888.0 20.848
891.0 21.294
893.0 20.349
894.0 20.376
895.0 21.353
899.0 20.585
911.0 20.916
912.0 21.406
913.0 21.015
919.0 20.867
922.0 21.256
924.0 21.062
927.0 20.967
929.0 20.752
936.0 21.308
937.0 20.336
942.0 20.921
943.0 21.415
946.0 20.143
947.0 22.864
948.0 20.727
949.0 21.103
951.0 20.743
956.0 21.065
959.0 20.689
961.0 20.227
964.0 21.02
967.0 21.396
975.0 21.074
977.0 21.143
979.0 21.044
983.0 21.116
987.0 20.743
996.0 20.951
997.0 21.26
1003.0 20.615
1011.0 21.08
1014.0 21.019
1015.0 21.258
1016.0 21.414
1034.0 20.953
1035.0 20.525
1040.0 20.796
1043.0 21.041
1044.0 21.056
1058.0 19.988
1059.0 21.015
1060.0 21.04
1062.0 19.944
1067.0 20.943
1070.0 21.001
1074.0 20.904
1077.0 21.031
1079.0 20.834
1080.0 21.268
1081.0 20.63
1083.0 20.988
1087.0 21.263
1093.0 21.333
1103.0 21.282
1107.0 21.155
1108.0 21.037
1109.0 20.606
1110.0 21.255
1111.0 21.276
1113.0 20.859
1120.0 21.307
1126.0 21.053
1127.0 21.339
1129.0 21.294
1133.0 21.138
1135.0 20.256
1136.0 19.676
1142.0 21.51
1144.0 21.305
1149.0 20.797
1150.0 21.342
1165.0 21.291
1167.0 21.032
1171.0 21.34
1174.0 21.016
1183.0 21.134
1189.0 21.048
1196.0 21.352
1197.0 21.06
1198.0 21.004
1199.0 21.395
1202.0 20.963
1207.0 20.898
1208.0 19.996
1210.0 21.093
1212.0 21.376
1214.0 20.715
1216.0 21.179
1217.0 21.192
1221.0 20.961
1227.0 19.11
1237.0 21.375
1238.0 21.158
1239.0 20.084
1244.0 21.198
1251.0 21.293
1253.0 20.686
1259.0 21.002
1266.0 21.27
1267.0 20.754
1272.0 20.929
1274.0 21.019
1275.0 21.211
1276.0 21.302
1280.0 21.209
1282.0 20.151
1283.0 20.979
1290.0 21.586
1291.0 20.804
1300.0 21.196
1302.0 21.173
1303.0 21.291
1304.0 20.868
1308.0 20.595
1309.0 21.114
1314.0 20.626
1318.0 21.036
1321.0 20.775
1332.0 21.092
1336.0 21.165
1340.0 21.049
1341.0 20.677
1342.0 21.252
1344.0 21.016
1345.0 21.285
1346.0 21.211
1347.0 20.953
1349.0 20.464
1353.0 21.298
1354.0 21.232
1358.0 20.988
1360.0 21.326
1365.0 21.261
1367.0 20.775
1369.0 20.785
1371.0 21.023
1375.0 21.337
1379.0 21.151
1380.0 21.173
1385.0 20.74
1386.0 21.172
1389.0 21.17
1390.0 21.112
1394.0 20.841
1395.0 20.72
1398.0 21.027
1403.0 21.372
1404.0 20.892
1410.0 20.989
1411.0 21.026
1412.0 20.994
1414.0 21.114
1420.0 21.252
1421.0 21.228
1422.0 20.724
1431.0 21.222
1433.0 21.133
1435.0 19.373
1440.0 21.257
1443.0 21.021
1444.0 21.04
1446.0 20.88
1447.0 21.151
1449.0 21.308
1450.0 21.284
1451.0 20.681
1452.0 21.306
1458.0 20.758
1463.0 21.269
1468.0 21.341
1474.0 21.026
1476.0 20.428
1478.0 20.828
1483.0 21.267
1486.0 20.546
1488.0 21.218
1501.0 20.525
1503.0 21.322
1504.0 21.134
1509.0 21.008
1512.0 20.378
1517.0 21.092
1522.0 20.935
1524.0 20.923
1526.0 21.423
1528.0 20.598
1529.0 21.175
1531.0 20.846
1532.0 19.304
1533.0 21.12
1536.0 20.502
1537.0 21.258
1539.0 21.101
1543.0 21.217
1552.0 21.204
1556.0 21.369
1558.0 19.735
1560.0 20.866
1565.0 20.836
1567.0 21.123
1568.0 20.948
1571.0 21.261
1572.0 21.287
1576.0 18.716
1577.0 21.264
