# band1 band2 limit n_objects
mag05_225 mag05_555 0.1 9
mag05_225 mag05_555 0.2 37
mag05_225 mag05_555 0.3 94
mag05_225 mag05_555 0.4 254
mag05_225 mag05_555 0.5 522
mag05_225 mag05_555 0.6 907
mag05_225 mag05_555 0.7 1436
mag05_225 mag05_555 0.8 2008
mag05_225 mag05_555 0.9 2669
mag05_438 mag05_555 0.1 35
mag05_438 mag05_555 0.2 200
mag05_438 mag05_555 0.3 666
mag05_438 mag05_555 0.4 1413
mag05_438 mag05_555 0.5 2444
mag05_438 mag05_555 0.6 3755
mag05_438 mag05_555 0.7 5214
mag05_438 mag05_555 0.8 6897
mag05_438 mag05_555 0.9 8786
mag05_555 mag05_814 0.1 54
mag05_555 mag05_814 0.2 309
mag05_555 mag05_814 0.3 840
mag05_555 mag05_814 0.4 1634
mag05_555 mag05_814 0.5 2771
mag05_555 mag05_814 0.6 4326
mag05_555 mag05_814 0.7 6404
mag05_555 mag05_814 0.8 8976
mag05_555 mag05_814 0.9 11859
mag05_336 mag05_555 0.1 20
mag05_336 mag05_555 0.2 116
mag05_336 mag05_555 0.3 379
mag05_336 mag05_555 0.4 904
mag05_336 mag05_555 0.5 1726
mag05_336 mag05_555 0.6 2643
mag05_336 mag05_555 0.7 3795
mag05_336 mag05_555 0.8 5069
mag05_336 mag05_555 0.9 6566
mag05_373 mag05_555 0.1 0
mag05_373 mag05_555 0.2 11
mag05_373 mag05_555 0.3 26
mag05_373 mag05_555 0.4 45
mag05_373 mag05_555 0.5 90
mag05_373 mag05_555 0.6 172
mag05_373 mag05_555 0.7 261
mag05_373 mag05_555 0.8 385
mag05_373 mag05_555 0.9 536
mag05_487 mag05_555 0.1 3
mag05_487 mag05_555 0.2 17
mag05_487 mag05_555 0.3 44
mag05_487 mag05_555 0.4 98
mag05_487 mag05_555 0.5 211
mag05_487 mag05_555 0.6 339
mag05_487 mag05_555 0.7 533
mag05_487 mag05_555 0.8 747
mag05_487 mag05_555 0.9 992
mag05_502 mag05_555 0.1 4
mag05_502 mag05_555 0.2 21
mag05_502 mag05_555 0.3 48
mag05_502 mag05_555 0.4 104
mag05_502 mag05_555 0.5 225
mag05_502 mag05_555 0.6 369
mag05_502 mag05_555 0.7 575
mag05_502 mag05_555 0.8 818
mag05_502 mag05_555 0.9 1085
mag05_555 mag05_657 0.1 12
mag05_555 mag05_657 0.2 51
mag05_555 mag05_657 0.3 163
mag05_555 mag05_657 0.4 397
mag05_555 mag05_657 0.5 722
mag05_555 mag05_657 0.6 1138
mag05_555 mag05_657 0.7 1630
mag05_555 mag05_657 0.8 2183
mag05_555 mag05_657 0.9 2874
mag05_555 mag05_673 0.1 6
mag05_555 mag05_673 0.2 30
mag05_555 mag05_673 0.3 76
mag05_555 mag05_673 0.4 187
mag05_555 mag05_673 0.5 364
mag05_555 mag05_673 0.6 573
mag05_555 mag05_673 0.7 819
mag05_555 mag05_673 0.8 1125
mag05_555 mag05_673 0.9 1477
