# band limit n_objects
mag05_225 0.1000 23147
mag05_225 0.2000 43324
mag05_225 0.3000 50346
mag05_225 0.4000 53418
mag05_225 0.5000 54904
mag05_225 0.6000 55647
mag05_225 0.7000 56127
mag05_225 0.8000 56437
mag05_225 0.9000 56657
mag3_225 0.1000 50395
mag3_225 0.2000 55664
mag3_225 0.3000 56660
mag3_225 0.4000 57016
mag3_225 0.5000 57179
mag3_225 0.6000 57303
mag3_225 0.7000 57369
mag3_225 0.8000 57424
mag3_225 0.9000 57455
mag05_336 0.1000 45561
mag05_336 0.2000 55848
mag05_336 0.3000 59361
mag05_336 0.4000 60633
mag05_336 0.5000 61223
mag05_336 0.6000 61557
mag05_336 0.7000 61745
mag05_336 0.8000 61877
mag05_336 0.9000 61951
mag3_336 0.1000 59036
mag3_336 0.2000 60976
mag3_336 0.3000 61365
mag3_336 0.4000 61525
mag3_336 0.5000 61611
mag3_336 0.6000 61664
mag3_336 0.7000 61696
mag3_336 0.8000 61718
mag3_336 0.9000 61730
mag05_373 0.1000 6639
mag05_373 0.2000 26069
mag05_373 0.3000 42296
mag05_373 0.4000 48858
mag05_373 0.5000 51790
mag05_373 0.6000 53236
mag05_373 0.7000 54104
mag05_373 0.8000 54639
mag05_373 0.9000 54982
mag3_373 0.1000 40278
mag3_373 0.2000 52241
mag3_373 0.3000 54236
mag3_373 0.4000 54934
mag3_373 0.5000 55282
mag3_373 0.6000 55474
mag3_373 0.7000 55582
mag3_373 0.8000 55657
mag3_373 0.9000 55720
mag05_438 0.1000 57997
mag05_438 0.2000 64838
mag05_438 0.3000 65766
mag05_438 0.4000 66034
mag05_438 0.5000 66153
mag05_438 0.6000 66218
mag05_438 0.7000 66259
mag05_438 0.8000 66292
mag05_438 0.9000 66305
mag3_438 0.1000 63652
mag3_438 0.2000 64324
mag3_438 0.3000 64492
mag3_438 0.4000 64569
mag3_438 0.5000 64607
mag3_438 0.6000 64634
mag3_438 0.7000 64650
mag3_438 0.8000 64664
mag3_438 0.9000 64675
mag05_487 0.1000 10498
mag05_487 0.2000 42269
mag05_487 0.3000 56888
mag05_487 0.4000 60673
mag05_487 0.5000 62032
mag05_487 0.6000 62715
mag05_487 0.7000 63061
mag05_487 0.8000 63300
mag05_487 0.9000 63438
mag3_487 0.1000 51183
mag3_487 0.2000 58836
mag3_487 0.3000 59970
mag3_487 0.4000 60332
mag3_487 0.5000 60554
mag3_487 0.6000 60657
mag3_487 0.7000 60725
mag3_487 0.8000 60777
mag3_487 0.9000 60815
mag05_502 0.1000 11842
mag05_502 0.2000 46256
mag05_502 0.3000 58606
mag05_502 0.4000 61635
mag05_502 0.5000 62786
mag05_502 0.6000 63307
mag05_502 0.7000 63607
mag05_502 0.8000 63811
mag05_502 0.9000 63946
mag3_502 0.1000 53171
mag3_502 0.2000 59789
mag3_502 0.3000 60802
mag3_502 0.4000 61169
mag3_502 0.5000 61373
mag3_502 0.6000 61475
mag3_502 0.7000 61542
mag3_502 0.8000 61585
mag3_502 0.9000 61615
mag05_555 0.1000 66815
mag05_555 0.2000 67282
mag05_555 0.3000 67362
mag05_555 0.4000 67391
mag05_555 0.5000 67407
mag05_555 0.6000 67413
mag05_555 0.7000 67421
mag05_555 0.8000 67424
mag05_555 0.9000 67426
mag3_555 0.1000 66188
mag3_555 0.2000 66401
mag3_555 0.3000 66462
mag3_555 0.4000 66487
mag3_555 0.5000 66503
mag3_555 0.6000 66509
mag3_555 0.7000 66514
mag3_555 0.8000 66521
mag3_555 0.9000 66525
mag05_657 0.1000 66287
mag05_657 0.2000 67768
mag05_657 0.3000 67781
mag05_657 0.4000 67785
mag05_657 0.5000 67789
mag05_657 0.6000 67790
mag05_657 0.7000 67790
mag05_657 0.8000 67790
mag05_657 0.9000 67790
mag3_657 0.1000 67816
mag3_657 0.2000 67819
mag3_657 0.3000 67819
mag3_657 0.4000 67819
mag3_657 0.5000 67819
mag3_657 0.6000 67819
mag3_657 0.7000 67819
mag3_657 0.8000 67819
mag3_657 0.9000 67819
mag05_673 0.1000 20075
mag05_673 0.2000 55609
mag05_673 0.3000 62307
mag05_673 0.4000 63880
mag05_673 0.5000 64477
mag05_673 0.6000 64786
mag05_673 0.7000 64941
mag05_673 0.8000 65038
mag05_673 0.9000 65105
mag3_673 0.1000 56782
mag3_673 0.2000 60585
mag3_673 0.3000 61281
mag3_673 0.4000 61557
mag3_673 0.5000 61699
mag3_673 0.6000 61764
mag3_673 0.7000 61827
mag3_673 0.8000 61866
mag3_673 0.9000 61893
mag05_814 0.1000 64299
mag05_814 0.2000 66500
mag05_814 0.3000 66782
mag05_814 0.4000 66884
mag05_814 0.5000 66933
mag05_814 0.6000 66971
mag05_814 0.7000 66991
mag05_814 0.8000 67002
mag05_814 0.9000 67014
mag3_814 0.1000 62761
mag3_814 0.2000 63373
mag3_814 0.3000 63515
mag3_814 0.4000 63588
mag3_814 0.5000 63639
mag3_814 0.6000 63667
mag3_814 0.7000 63690
mag3_814 0.8000 63705
mag3_814 0.9000 63716
